CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED,PARTY_VOTED
6,1207,AWW2290924,08:00:56,08:01:56,NOTA,NOTA
1,302,TPT7580394,13:06:52,13:07:52,T. Anjali Verma,JD(U)
3,752,YJI9509230,09:28:26,09:29:26,NOTA,NOTA
3,635,MMK6121553,13:31:14,13:34:14,P. Suresh Das,BRS
2,468,DYZ9553815,10:04:19,10:07:19,NOTA,NOTA
5,1049,HGD0932111,14:31:49,14:33:49,NOTA,NOTA
3,603,WCY1121089,14:07:36,14:08:36,O. Priya Reddy,BJP
3,613,OMC7435547,10:45:16,10:48:16,P. Suresh Das,BRS
2,563,BRO9796426,11:08:22,11:10:22,NOTA,NOTA
7,1278,YOT9575065,10:54:08,10:56:08,NOTA,NOTA
4,796,VIJ9691569,08:14:19,08:15:19,A. Suresh Babu,TDP
3,760,GCR1463297,13:12:39,13:15:39,O. Priya Reddy,BJP
3,659,OSY5539769,14:17:18,14:20:18,P. Suresh Das,BRS
7,1367,TKD0849036,15:34:45,15:35:45,K. Radha Kumar,TDP
6,1207,MRF7085685,09:54:29,09:56:29,S. Sneha Sharma,DMK
3,704,LAK6356579,12:05:00,12:07:00,NOTA,NOTA
4,815,JBR3713034,15:22:01,15:23:01,A. Suresh Babu,TDP
7,1353,FOU7411874,16:15:55,16:18:55,F. Suresh Joshi,YSRCP
2,408,FAF8139410,09:43:19,09:45:19,I. Vikram Singh,CPM
3,613,RMB2047239,11:19:08,11:22:08,O. Sneha Yadav,BSP
2,576,VAD8412743,10:03:58,10:05:58,Q. Manoj Das,TDP
2,358,EYI6022444,09:57:20,09:58:20,Q. Anil Verma,JD(U)
1,207,VCE4086031,12:54:23,12:56:23,S. Suresh Naidu,INC
6,1165,VPU1755348,15:08:53,15:11:53,C. Latha Kumar,TDP
3,708,KED9051093,15:50:58,15:51:58,O. Priya Reddy,BJP
8,1507,CSM3900961,10:49:44,10:50:44,G. Manoj Babu,AAP
7,1310,ZIN7800701,09:28:15,09:29:15,K. Radha Kumar,TDP
4,998,IWP0989022,14:24:54,14:26:54,A. Suresh Babu,TDP
1,313,GPM4746381,10:17:38,10:19:38,S. Suresh Naidu,INC
4,843,UTW9445829,12:43:09,12:46:09,A. Suresh Babu,TDP
2,433,CIQ7491823,10:10:37,10:11:37,S. Kavya Babu,DMK
1,16,XEA5274021,15:28:58,15:29:58,B. Rahul Yadav,TDP
5,1121,NEK0827932,12:46:05,12:47:05,C. Anjali Naidu,BSP
4,968,OHO8466567,15:53:48,15:56:48,L. Meena Joshi,JD(U)
4,812,WTF7960917,08:11:55,08:12:55,Y. Kavya Das,INC
2,437,SOM9070087,09:51:14,09:52:14,NOTA,NOTA
3,646,XSP6910138,11:00:10,11:02:10,Y. Divya Das,INC
8,1526,LJH6747435,16:15:40,16:17:40,D. Sneha Naidu,BRS
4,932,XWS3998804,09:53:50,09:56:50,Y. Kavya Das,INC
8,1417,BCV9655477,12:48:58,12:50:58,NOTA,NOTA
2,427,MRC4833492,14:55:14,14:57:14,NOTA,NOTA
4,805,ORI4343225,13:22:46,13:24:46,R. Sneha Babu,AAP
7,1256,QMN5127568,10:49:24,10:52:24,F. Suresh Joshi,YSRCP
5,1053,IYD4154345,08:31:06,08:32:06,NOTA,NOTA
2,468,GQS3580205,15:49:02,15:50:02,Q. Anil Verma,JD(U)
6,1181,EBY4840601,10:43:07,10:44:07,S. Sneha Sharma,DMK
4,814,LML5542457,10:11:21,10:13:21,A. Suresh Babu,TDP
8,1444,DPX8844991,15:01:35,15:04:35,O. Radha Singh,BJP
2,370,KXB3547728,10:55:50,10:57:50,Q. Anil Verma,JD(U)
7,1280,LDJ2330184,15:24:54,15:26:54,K. Radha Kumar,TDP
6,1197,SMA9505426,16:42:25,16:45:25,S. Sneha Sharma,DMK
2,373,ING6155553,12:50:06,12:52:06,S. Kavya Babu,DMK
5,1086,VHK2674104,16:28:17,16:31:17,NOTA,NOTA
2,537,KMJ1679808,10:40:07,10:43:07,Q. Anil Verma,JD(U)
1,172,PAL2818304,10:52:27,10:53:27,B. Rahul Yadav,TDP
6,1153,FZM3245814,08:56:35,08:59:35,S. Sneha Sharma,DMK
8,1408,EGL2843114,10:32:37,10:35:37,O. Radha Singh,BJP
6,1135,XEP7591996,08:23:16,08:25:16,C. Latha Kumar,TDP
4,881,CRI7677206,15:46:29,15:48:29,L. Meena Joshi,JD(U)
1,18,DET7416676,16:37:43,16:40:43,NOTA,NOTA
1,62,BNW6410839,13:14:25,13:15:25,NOTA,NOTA
4,943,YFO0686839,08:18:33,08:19:33,R. Sneha Babu,AAP
5,1022,LFK6321401,13:09:07,13:12:07,T. Manoj Kumar,CPM
7,1325,KUX8701236,16:24:57,16:25:57,K. Radha Kumar,TDP
3,585,KGV3156648,11:39:24,11:41:24,Y. Divya Das,INC
2,440,JFM6939028,11:09:13,11:11:13,NOTA,NOTA
4,932,TXO7703033,11:44:51,11:47:51,R. Sneha Babu,AAP
1,319,PJZ7116689,14:24:06,14:25:06,NOTA,NOTA
1,25,GAF5147236,13:18:02,13:19:02,NOTA,NOTA
5,1046,CPN0897032,09:11:11,09:13:11,C. Anjali Naidu,BSP
3,725,MPZ3516754,12:48:46,12:50:46,P. Suresh Das,BRS
5,1063,TFU2748021,15:16:39,15:17:39,T. Manoj Kumar,CPM
2,471,WBD0245024,16:42:14,16:43:14,Q. Manoj Das,TDP
3,608,XVB9230874,15:31:15,15:34:15,O. Sneha Yadav,BSP
4,921,SLY4638717,09:18:44,09:20:44,Y. Kavya Das,INC
2,434,BIU9520113,10:14:37,10:16:37,Q. Manoj Das,TDP
3,617,SSW6325979,08:41:27,08:43:27,O. Sneha Yadav,BSP
3,730,JBV4528516,08:38:47,08:39:47,NOTA,NOTA
2,571,ONE8920670,16:47:40,16:49:40,S. Kavya Babu,DMK
2,356,MXH0692933,16:19:18,16:20:18,I. Vikram Singh,CPM
8,1405,MDH1237787,15:00:49,15:03:49,O. Radha Singh,BJP
3,716,IPR1891730,12:51:50,12:52:50,NOTA,NOTA
3,585,GLO2525320,16:49:07,16:52:07,P. Suresh Das,BRS
3,669,TPH9927060,15:05:26,15:08:26,Y. Divya Das,INC
4,940,LEM1412832,12:21:57,12:24:57,A. Suresh Babu,TDP
5,1070,APE6082838,09:59:42,10:01:42,T. Manoj Kumar,CPM
4,837,KJI6883114,13:28:17,13:30:17,NOTA,NOTA
5,1023,XTV0636410,12:07:54,12:08:54,F. Anjali Das,INC
1,230,AFI7910997,16:53:52,16:54:52,NOTA,NOTA
7,1257,SYE8810761,15:46:50,15:47:50,L. Priya Babu,SP
5,1109,YBL6327164,13:24:57,13:27:57,T. Manoj Kumar,CPM
1,310,LXE4487234,15:54:23,15:55:23,N. Kiran Kumar,BJP
6,1169,FAG0916594,08:57:16,08:58:16,I. Suresh Joshi,SP
3,582,KLT8301304,13:36:20,13:37:20,Y. Divya Das,INC
1,99,ZWG6968815,16:32:13,16:34:13,S. Suresh Naidu,INC
1,228,MRC3696180,16:31:46,16:34:46,NOTA,NOTA
7,1298,IID9556882,16:22:18,16:25:18,K. Radha Kumar,TDP
8,1503,OLU2388663,12:59:49,13:01:49,G. Manoj Babu,AAP
8,1427,XRE3276353,16:23:50,16:24:50,D. Sneha Naidu,BRS
2,403,WHT1195766,14:23:56,14:25:56,NOTA,NOTA
1,314,BFF6092690,13:13:19,13:15:19,B. Rahul Yadav,TDP
3,667,FPD2361952,09:10:53,09:13:53,O. Priya Reddy,BJP
1,348,APH4050032,12:21:10,12:23:10,B. Rahul Yadav,TDP
1,175,BDK6164273,16:21:57,16:24:57,S. Suresh Naidu,INC
6,1220,AVL2741788,09:28:08,09:30:08,C. Latha Kumar,TDP
2,438,RSJ0096133,16:39:27,16:40:27,Q. Manoj Das,TDP
1,123,ZNQ8863497,08:50:18,08:53:18,T. Anjali Verma,JD(U)
1,225,FSH8420734,12:59:47,13:00:47,T. Anjali Verma,JD(U)
1,283,LTH7062993,16:32:22,16:33:22,B. Rahul Yadav,TDP
7,1358,EYV0877320,08:45:33,08:46:33,NOTA,NOTA
1,263,AVJ4036198,08:38:30,08:41:30,B. Rahul Yadav,TDP
3,761,KCR3661736,15:28:24,15:31:24,O. Sneha Yadav,BSP
1,152,PMU4862001,13:10:32,13:11:32,T. Anjali Verma,JD(U)
7,1293,YTG5108111,11:32:23,11:34:23,K. Radha Kumar,TDP
2,562,LOW8914647,16:52:02,16:53:02,I. Vikram Singh,CPM
4,867,OBC5033968,13:16:26,13:18:26,A. Suresh Babu,TDP
3,753,OGZ6059799,12:13:20,12:16:20,P. Suresh Das,BRS
3,700,BDG6845862,14:33:11,14:34:11,O. Priya Reddy,BJP
5,1077,CDY8456818,15:09:48,15:12:48,NOTA,NOTA
7,1334,QYY8300873,11:33:23,11:35:23,F. Suresh Joshi,YSRCP
5,1120,SEX7707342,15:02:43,15:05:43,J. Divya Sharma,DMK
1,11,RFB8748412,12:59:22,13:00:22,B. Rahul Yadav,TDP
2,513,CGX4229714,14:41:41,14:43:41,Q. Manoj Das,TDP
1,259,TDG5422456,15:47:14,15:48:14,B. Rahul Yadav,TDP
1,182,CGP9589355,12:05:56,12:06:56,B. Rahul Yadav,TDP
8,1454,SMO9194619,16:32:27,16:33:27,D. Sneha Naidu,BRS
2,360,RJK6054813,11:44:40,11:46:40,I. Vikram Singh,CPM
2,474,CJM0813800,11:30:33,11:31:33,S. Kavya Babu,DMK
1,238,RDU7444297,16:06:07,16:09:07,T. Anjali Verma,JD(U)
1,102,PHW5209768,12:32:06,12:34:06,NOTA,NOTA
2,537,LPX5615542,12:01:04,12:04:04,Q. Manoj Das,TDP
4,1005,LCR1927110,08:54:39,08:57:39,A. Suresh Babu,TDP
8,1382,GMR9636767,15:52:22,15:54:22,G. Manoj Babu,AAP
2,372,DTK7006054,08:43:03,08:44:03,NOTA,NOTA
1,196,VJD0012280,16:35:06,16:36:06,N. Kiran Kumar,BJP
2,551,JCA4366565,11:37:13,11:39:13,NOTA,NOTA
7,1331,TVB9646387,08:23:19,08:24:19,K. Radha Kumar,TDP
8,1422,TCL3526754,12:41:02,12:44:02,D. Sneha Naidu,BRS
7,1318,LPZ4083467,12:43:04,12:44:04,L. Priya Babu,SP
7,1272,EUB0334818,13:50:38,13:52:38,NOTA,NOTA
7,1302,MUS3875030,13:55:00,13:57:00,F. Suresh Joshi,YSRCP
5,1063,WUJ4523293,12:10:19,12:11:19,C. Anjali Naidu,BSP
3,661,GMS5378241,12:25:34,12:28:34,O. Priya Reddy,BJP
2,446,WPD9734353,15:01:19,15:04:19,S. Kavya Babu,DMK
1,126,WNW7613520,12:05:53,12:07:53,N. Kiran Kumar,BJP
4,854,BEL2211884,09:00:48,09:03:48,R. Sneha Babu,AAP
1,111,PUV1270725,15:16:14,15:19:14,NOTA,NOTA
4,939,GFR8372843,08:34:20,08:35:20,A. Suresh Babu,TDP
2,385,RXP6519072,10:28:49,10:29:49,NOTA,NOTA
1,271,WQS3322951,15:21:52,15:23:52,N. Kiran Kumar,BJP
2,385,TQX1457271,08:23:03,08:25:03,I. Vikram Singh,CPM
5,1059,FLE2517131,08:45:58,08:48:58,J. Divya Sharma,DMK
6,1233,MYR2559851,14:20:30,14:21:30,C. Latha Kumar,TDP
2,528,AZF6378966,16:02:59,16:04:59,I. Vikram Singh,CPM
3,681,QPK2020398,12:47:20,12:48:20,NOTA,NOTA
3,708,GRX1078167,15:04:00,15:07:00,P. Suresh Das,BRS
1,330,CAK0395795,16:57:53,17:00:53,NOTA,NOTA
2,383,QUQ7910116,11:25:24,11:28:24,I. Vikram Singh,CPM
1,322,BHC1738008,15:34:26,15:36:26,B. Rahul Yadav,TDP
1,150,WYB6403016,10:25:18,10:26:18,S. Suresh Naidu,INC
5,1111,FLA3641416,14:38:55,14:39:55,J. Divya Sharma,DMK
1,145,PKF0286652,14:45:26,14:48:26,T. Anjali Verma,JD(U)
5,1023,ULM3711236,15:22:30,15:24:30,F. Anjali Das,INC
2,482,NUO5055691,08:36:49,08:37:49,NOTA,NOTA
2,411,FAP8629374,08:21:44,08:24:44,NOTA,NOTA
3,777,PEQ6816091,09:53:52,09:55:52,NOTA,NOTA
1,130,CGP5674746,09:05:09,09:06:09,NOTA,NOTA
1,142,EEL5839177,08:24:31,08:25:31,NOTA,NOTA
1,239,IGS2225152,12:46:40,12:47:40,N. Kiran Kumar,BJP
4,885,DCS7351708,14:33:05,14:35:05,R. Sneha Babu,AAP
2,423,BLX8148666,09:10:09,09:12:09,I. Vikram Singh,CPM
6,1157,JXV2171028,10:53:13,10:54:13,T. Manoj Joshi,BJP
1,101,EQG4139929,11:42:11,11:44:11,NOTA,NOTA
2,579,JTG8305423,14:50:37,14:51:37,S. Kavya Babu,DMK
6,1166,XHY1264856,12:33:01,12:35:01,S. Sneha Sharma,DMK
7,1313,VLS1796144,16:34:00,16:36:00,K. Radha Kumar,TDP
4,1007,WNL9862668,12:45:43,12:48:43,A. Suresh Babu,TDP
8,1507,HOQ9215091,16:50:44,16:52:44,G. Manoj Babu,AAP
6,1198,LDD0235178,10:20:43,10:23:43,NOTA,NOTA
2,550,ZVN1153717,14:18:12,14:19:12,S. Kavya Babu,DMK
8,1488,RPN0575973,14:02:22,14:03:22,NOTA,NOTA
1,266,ZGH9907676,08:09:34,08:11:34,B. Rahul Yadav,TDP
7,1258,MGZ8518683,10:56:52,10:58:52,F. Suresh Joshi,YSRCP
6,1141,MSM7270920,10:49:12,10:50:12,NOTA,NOTA
6,1239,RWX6944227,09:36:48,09:38:48,I. Suresh Joshi,SP
1,116,YLW8152856,09:21:54,09:22:54,NOTA,NOTA
1,300,WRT5076441,08:34:06,08:35:06,NOTA,NOTA
3,643,SGE2080921,11:19:36,11:20:36,P. Suresh Das,BRS
5,1036,SQB1593315,10:09:22,10:12:22,C. Anjali Naidu,BSP
1,173,LKK7493897,12:01:16,12:04:16,NOTA,NOTA
6,1205,NJK1492518,16:31:16,16:32:16,NOTA,NOTA
1,107,FAZ9874176,15:32:07,15:34:07,B. Rahul Yadav,TDP
5,1116,UTZ0806979,11:20:09,11:23:09,J. Divya Sharma,DMK
8,1505,AXV6718309,12:45:31,12:46:31,O. Radha Singh,BJP
1,72,KQS8851662,12:14:02,12:17:02,NOTA,NOTA
3,624,TFD3485352,12:45:29,12:48:29,P. Suresh Das,BRS
8,1448,DMA3497809,14:40:24,14:43:24,O. Radha Singh,BJP
8,1463,QSZ6681721,16:12:30,16:14:30,G. Manoj Babu,AAP
2,541,DJS7010074,15:35:34,15:37:34,I. Vikram Singh,CPM
3,729,XNY8597580,15:01:59,15:03:59,O. Priya Reddy,BJP
1,161,VRB6497398,13:16:43,13:19:43,S. Suresh Naidu,INC
4,952,NLY4230744,11:21:34,11:22:34,Y. Kavya Das,INC
8,1400,FVV3710940,16:38:39,16:41:39,D. Sneha Naidu,BRS
7,1353,NAU1331575,10:49:03,10:50:03,K. Radha Kumar,TDP
1,113,VFJ5430143,08:51:40,08:54:40,T. Anjali Verma,JD(U)
3,655,YDE5725441,16:53:50,16:56:50,NOTA,NOTA
3,650,ZRZ2326311,10:29:18,10:32:18,P. Suresh Das,BRS
1,104,HCZ2971585,15:46:56,15:47:56,B. Rahul Yadav,TDP
1,337,YPV2869964,15:34:02,15:35:02,S. Suresh Naidu,INC
7,1376,GOQ9647488,11:31:06,11:34:06,L. Priya Babu,SP
6,1211,DCE9956757,10:45:40,10:46:40,C. Latha Kumar,TDP
3,748,FPX5416904,14:42:17,14:44:17,Y. Divya Das,INC
7,1366,NNS5541106,16:11:12,16:12:12,L. Priya Babu,SP
8,1449,UOK3070522,09:22:49,09:23:49,O. Radha Singh,BJP
2,480,CPZ0827778,11:58:14,11:59:14,I. Vikram Singh,CPM
4,816,UHP0227483,14:37:32,14:38:32,Y. Kavya Das,INC
4,995,CUY9589392,11:39:40,11:42:40,L. Meena Joshi,JD(U)
3,724,QTE4897382,16:44:03,16:45:03,P. Suresh Das,BRS
2,359,XPA5435419,09:49:14,09:51:14,NOTA,NOTA
2,563,PVZ6660306,15:16:37,15:18:37,S. Kavya Babu,DMK
4,836,ANE2515640,10:22:28,10:23:28,NOTA,NOTA
1,182,BGF9026494,08:08:13,08:09:13,B. Rahul Yadav,TDP
3,749,YGB0751729,14:38:38,14:39:38,O. Sneha Yadav,BSP
8,1474,TGW2295180,12:23:44,12:24:44,D. Sneha Naidu,BRS
2,534,LDU3746245,09:47:07,09:48:07,Q. Anil Verma,JD(U)
6,1154,WJO5200818,08:41:44,08:44:44,I. Suresh Joshi,SP
7,1340,DBI9971748,11:28:09,11:31:09,L. Priya Babu,SP
7,1314,KQZ3537083,13:59:57,14:00:57,F. Suresh Joshi,YSRCP
3,723,ARK5842468,14:55:55,14:58:55,P. Suresh Das,BRS
5,1099,KNR0092170,08:26:46,08:28:46,T. Manoj Kumar,CPM
2,574,SNZ8267438,11:45:38,11:46:38,NOTA,NOTA
3,719,TMU8047377,14:26:33,14:28:33,O. Sneha Yadav,BSP
1,149,FRX4645252,10:52:35,10:55:35,T. Anjali Verma,JD(U)
7,1301,KGZ6505516,08:23:52,08:26:52,NOTA,NOTA
1,17,NCU6792926,08:35:37,08:37:37,S. Suresh Naidu,INC
