CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED,PARTY_VOTED
2,480,AWW2290924,16:57:39,16:59:39,Z. Sanjay Yadav,LAG
6,1249,TPT7580394,09:50:59,09:53:59,A. Manoj Naidu,KEM
4,976,YJI9509230,12:50:45,12:51:45,H. Divya Yadav,VUN
4,860,MMK6121553,15:56:20,15:58:20,W. Vijay Babu,WUF
4,922,DYZ9553815,14:31:29,14:32:29,W. Vijay Babu,WUF
6,1210,HGD0932111,08:30:39,08:32:39,K. Anil Das,MEX
3,661,WCY1121089,16:17:02,16:19:02,Y. Suresh Sharma,TIL
1,42,OMC7435547,16:07:03,16:09:03,V. Priya Reddy,LAG
2,542,BRO9796426,10:51:43,10:53:43,N. Ravi Singh,QOP
2,478,YOT9575065,15:23:55,15:24:55,T. Rahul Singh,MEX
7,1307,VIJ9691569,14:36:14,14:38:14,A. Anil Reddy,BIR
1,279,GCR1463297,11:15:02,11:18:02,V. Priya Reddy,LAG
4,876,OSY5539769,09:19:01,09:22:01,W. Vijay Babu,WUF
7,1306,TKD0849036,13:53:14,13:54:14,L. Anil Yadav,KEM
2,519,MRF7085685,09:37:42,09:38:42,Z. Sanjay Yadav,LAG
3,686,LAK6356579,14:19:40,14:20:40,T. Priya Naidu,MEX
4,886,JBR3713034,15:22:30,15:24:30,C. Suresh Singh,NOD
7,1315,FOU7411874,12:38:31,12:41:31,L. Anil Yadav,KEM
1,292,FAF8139410,14:58:53,15:01:53,V. Priya Reddy,LAG
6,1157,RMB2047239,11:54:04,11:55:04,A. Manoj Naidu,KEM
4,900,VAD8412743,13:55:57,13:57:57,W. Vijay Babu,WUF
3,748,EYI6022444,09:03:58,09:04:58,R. Rahul Babu,ZAR
3,712,VCE4086031,12:20:35,12:22:35,Y. Suresh Sharma,TIL
4,837,VPU1755348,13:08:15,13:11:15,C. Suresh Singh,NOD
6,1175,KED9051093,10:14:38,10:15:38,A. Manoj Naidu,KEM
2,539,CSM3900961,13:26:07,13:29:07,N. Ravi Singh,QOP
6,1202,ZIN7800701,11:11:57,11:12:57,K. Anil Das,MEX
2,505,IWP0989022,15:42:08,15:43:08,Z. Sanjay Yadav,LAG
1,38,GPM4746381,16:26:27,16:27:27,D. Rahul Singh,VUN
1,130,UTW9445829,14:26:13,14:29:13,V. Priya Reddy,LAG
2,377,CIQ7491823,10:40:22,10:41:22,N. Ravi Singh,QOP
1,315,XEA5274021,11:21:55,11:23:55,C. Suresh Naidu,MEX
8,1466,NEK0827932,13:22:27,13:24:27,U. Arun Singh,KEM
3,787,OHO8466567,10:16:48,10:19:48,R. Rahul Babu,ZAR
2,536,WTF7960917,14:17:16,14:19:16,N. Ravi Singh,QOP
1,44,SOM9070087,12:39:43,12:40:43,D. Rahul Singh,VUN
4,962,XSP6910138,08:21:52,08:22:52,C. Suresh Singh,NOD
1,132,LJH6747435,11:16:38,11:18:38,C. Suresh Naidu,MEX
2,358,XWS3998804,16:10:18,16:13:18,Z. Sanjay Yadav,LAG
5,1088,BCV9655477,15:11:35,15:12:35,C. Latha Reddy,QOP
3,786,MRC4833492,13:26:06,13:27:06,R. Rahul Babu,ZAR
5,1104,ORI4343225,15:50:39,15:51:39,M. Arun Yadav,ZAR
5,1040,QMN5127568,13:22:55,13:23:55,O. Arun Verma,TIL
4,1008,IYD4154345,13:25:29,13:26:29,C. Suresh Singh,NOD
8,1494,GQS3580205,15:55:05,15:57:05,X. Sanjay Singh,WUF
4,816,EBY4840601,15:27:37,15:29:37,H. Divya Yadav,VUN
6,1160,LML5542457,08:59:25,09:02:25,K. Anil Das,MEX
1,309,DPX8844991,12:54:26,12:56:26,V. Priya Reddy,LAG
3,611,KXB3547728,08:43:46,08:44:46,T. Priya Naidu,MEX
3,781,LDJ2330184,16:23:57,16:25:57,R. Rahul Babu,ZAR
4,830,SMA9505426,13:11:14,13:13:14,C. Suresh Singh,NOD
6,1173,ING6155553,14:12:45,14:14:45,K. Anil Das,MEX
2,417,VHK2674104,13:37:37,13:38:37,N. Ravi Singh,QOP
4,881,KMJ1679808,08:18:42,08:21:42,H. Divya Yadav,VUN
2,357,PAL2818304,11:38:03,11:40:03,N. Ravi Singh,QOP
4,916,FZM3245814,10:10:10,10:11:10,H. Divya Yadav,VUN
4,948,EGL2843114,08:22:38,08:25:38,C. Suresh Singh,NOD
1,27,XEP7591996,08:14:32,08:16:32,Y. Sneha Kumar,ZAR
5,1021,CRI7677206,12:29:43,12:31:43,O. Arun Verma,TIL
7,1284,DET7416676,13:35:21,13:38:21,R. Kavya Yadav,LAG
2,512,BNW6410839,11:38:00,11:40:00,W. Rahul Reddy,VUN
4,848,YFO0686839,12:29:04,12:31:04,W. Vijay Babu,WUF
2,436,LFK6321401,10:41:32,10:43:32,W. Rahul Reddy,VUN
2,519,KUX8701236,13:10:38,13:12:38,Z. Sanjay Yadav,LAG
8,1520,KGV3156648,15:37:20,15:40:20,U. Arun Singh,KEM
4,1004,JFM6939028,16:39:38,16:40:38,H. Divya Yadav,VUN
2,542,TXO7703033,16:53:16,16:56:16,N. Ravi Singh,QOP
6,1207,PJZ7116689,10:58:05,11:01:05,A. Manoj Naidu,KEM
2,479,GAF5147236,13:58:09,14:01:09,Z. Sanjay Yadav,LAG
4,908,CPN0897032,10:19:53,10:20:53,W. Vijay Babu,WUF
1,297,MPZ3516754,15:56:11,15:59:11,V. Priya Reddy,LAG
4,906,TFU2748021,13:06:44,13:07:44,W. Vijay Babu,WUF
8,1396,WBD0245024,12:50:18,12:51:18,B. Latha Reddy,ZAR
5,1042,XVB9230874,10:06:11,10:07:11,O. Arun Verma,TIL
2,381,SLY4638717,15:10:05,15:13:05,T. Rahul Singh,MEX
1,87,BIU9520113,15:48:29,15:51:29,C. Suresh Naidu,MEX
1,50,SSW6325979,13:00:31,13:02:31,C. Suresh Naidu,MEX
1,82,JBV4528516,11:06:15,11:09:15,V. Priya Reddy,LAG
1,143,ONE8920670,08:50:57,08:53:57,Y. Sneha Kumar,ZAR
5,1089,MXH0692933,12:42:36,12:43:36,O. Arun Verma,TIL
5,1065,MDH1237787,11:28:26,11:31:26,O. Arun Verma,TIL
3,687,IPR1891730,14:50:16,14:53:16,T. Priya Naidu,MEX
4,949,GLO2525320,14:32:32,14:33:32,H. Divya Yadav,VUN
1,22,TPH9927060,12:27:46,12:28:46,Y. Sneha Kumar,ZAR
4,905,LEM1412832,15:49:20,15:52:20,C. Suresh Singh,NOD
3,768,APE6082838,09:55:21,09:57:21,Y. Suresh Sharma,TIL
3,760,KJI6883114,13:27:52,13:29:52,S. Kavya Joshi,RYX
5,1121,XTV0636410,15:10:26,15:12:26,C. Latha Reddy,QOP
6,1150,AFI7910997,14:30:27,14:32:27,A. Manoj Naidu,KEM
4,887,SYE8810761,14:48:33,14:49:33,C. Suresh Singh,NOD
1,250,YBL6327164,14:38:15,14:39:15,D. Rahul Singh,VUN
3,610,LXE4487234,14:06:40,14:08:40,T. Priya Naidu,MEX
1,69,FAG0916594,13:13:59,13:15:59,Y. Sneha Kumar,ZAR
1,305,KLT8301304,12:37:23,12:40:23,C. Suresh Naidu,MEX
6,1154,ZWG6968815,09:46:25,09:49:25,K. Anil Das,MEX
8,1430,MRC3696180,09:22:11,09:25:11,B. Latha Reddy,ZAR
2,535,IID9556882,16:23:06,16:25:06,T. Rahul Singh,MEX
8,1435,OLU2388663,09:30:40,09:31:40,U. Arun Singh,KEM
2,442,XRE3276353,10:22:30,10:24:30,N. Ravi Singh,QOP
1,261,WHT1195766,10:19:54,10:20:54,V. Priya Reddy,LAG
1,200,BFF6092690,11:04:31,11:05:31,V. Priya Reddy,LAG
2,508,FPD2361952,13:58:05,13:59:05,N. Ravi Singh,QOP
1,254,APH4050032,10:38:14,10:40:14,V. Priya Reddy,LAG
1,167,BDK6164273,12:39:30,12:40:30,Y. Sneha Kumar,ZAR
1,259,AVL2741788,08:05:23,08:07:23,C. Suresh Naidu,MEX
3,788,RSJ0096133,16:19:29,16:21:29,Y. Suresh Sharma,TIL
1,238,ZNQ8863497,09:19:18,09:20:18,Y. Sneha Kumar,ZAR
8,1519,FSH8420734,15:14:58,15:15:58,X. Sanjay Singh,WUF
8,1443,LTH7062993,11:53:14,11:54:14,U. Arun Singh,KEM
7,1284,EYV0877320,12:33:11,12:34:11,R. Kavya Yadav,LAG
1,251,AVJ4036198,09:30:22,09:32:22,C. Suresh Naidu,MEX
4,951,KCR3661736,13:52:09,13:54:09,H. Divya Yadav,VUN
3,713,PMU4862001,16:21:49,16:24:49,Y. Suresh Sharma,TIL
7,1301,YTG5108111,09:35:29,09:37:29,R. Kavya Yadav,LAG
3,759,LOW8914647,13:58:29,14:00:29,R. Rahul Babu,ZAR
1,77,OBC5033968,10:09:33,10:10:33,Y. Sneha Kumar,ZAR
5,1081,OGZ6059799,08:32:04,08:33:04,M. Arun Yadav,ZAR
2,359,BDG6845862,14:25:24,14:26:24,Z. Sanjay Yadav,LAG
1,57,CDY8456818,16:39:00,16:41:00,C. Suresh Naidu,MEX
2,580,QYY8300873,10:28:32,10:29:32,W. Rahul Reddy,VUN
1,306,SEX7707342,11:01:48,11:04:48,Y. Sneha Kumar,ZAR
4,958,RFB8748412,08:57:25,09:00:25,C. Suresh Singh,NOD
4,988,CGX4229714,11:05:54,11:06:54,H. Divya Yadav,VUN
7,1344,TDG5422456,15:15:03,15:18:03,K. Meena Babu,VUN
1,202,CGP9589355,15:50:49,15:51:49,Y. Sneha Kumar,ZAR
6,1231,SMO9194619,14:03:27,14:05:27,A. Lakshmi Sharma,BIR
3,697,RJK6054813,14:08:07,14:09:07,S. Kavya Joshi,RYX
1,247,CJM0813800,11:59:16,12:00:16,D. Rahul Singh,VUN
7,1356,RDU7444297,12:06:15,12:08:15,A. Anil Reddy,BIR
4,795,PHW5209768,16:24:04,16:27:04,H. Divya Yadav,VUN
5,1109,LPX5615542,11:17:04,11:18:04,O. Arun Verma,TIL
1,348,LCR1927110,16:14:19,16:16:19,C. Suresh Naidu,MEX
2,454,GMR9636767,12:27:41,12:28:41,N. Ravi Singh,QOP
1,29,DTK7006054,10:13:42,10:14:42,C. Suresh Naidu,MEX
2,415,VJD0012280,08:22:37,08:23:37,N. Ravi Singh,QOP
2,568,JCA4366565,10:45:20,10:48:20,T. Rahul Singh,MEX
8,1473,TVB9646387,09:22:21,09:24:21,X. Sanjay Singh,WUF
3,623,TCL3526754,13:37:42,13:38:42,Y. Suresh Sharma,TIL
4,797,LPZ4083467,16:25:56,16:27:56,C. Suresh Singh,NOD
7,1324,EUB0334818,15:48:30,15:49:30,K. Meena Babu,VUN
8,1486,MUS3875030,14:12:26,14:13:26,U. Anjali Yadav,VUN
1,39,WUJ4523293,09:57:18,10:00:18,V. Priya Reddy,LAG
6,1196,GMS5378241,12:28:59,12:31:59,K. Anil Das,MEX
2,481,WPD9734353,15:46:11,15:48:11,W. Rahul Reddy,VUN
3,692,WNW7613520,10:44:03,10:46:03,Y. Suresh Sharma,TIL
5,1116,BEL2211884,10:52:39,10:54:39,M. Arun Yadav,ZAR
1,183,PUV1270725,16:45:06,16:48:06,C. Suresh Naidu,MEX
2,356,GFR8372843,10:00:16,10:01:16,N. Ravi Singh,QOP
2,493,RXP6519072,08:50:52,08:52:52,N. Ravi Singh,QOP
6,1198,WQS3322951,16:28:00,16:31:00,K. Anil Das,MEX
2,408,TQX1457271,12:54:22,12:57:22,Z. Sanjay Yadav,LAG
4,911,FLE2517131,12:10:36,12:11:36,W. Vijay Babu,WUF
1,344,MYR2559851,14:48:53,14:49:53,C. Suresh Naidu,MEX
1,347,AZF6378966,09:52:37,09:55:37,D. Rahul Singh,VUN
4,920,QPK2020398,09:18:12,09:20:12,H. Divya Yadav,VUN
5,1040,GRX1078167,15:43:39,15:46:39,C. Latha Reddy,QOP
1,186,CAK0395795,09:50:37,09:51:37,C. Suresh Naidu,MEX
7,1354,QUQ7910116,16:12:14,16:13:14,R. Kavya Yadav,LAG
1,325,BHC1738008,12:55:05,12:56:05,Y. Sneha Kumar,ZAR
2,413,WYB6403016,14:11:14,14:12:14,N. Ravi Singh,QOP
3,672,FLA3641416,16:52:00,16:55:00,S. Kavya Joshi,RYX
6,1247,PKF0286652,11:05:01,11:06:01,A. Manoj Naidu,KEM
5,1083,ULM3711236,13:37:12,13:40:12,M. Arun Yadav,ZAR
2,571,NUO5055691,15:34:25,15:35:25,Z. Sanjay Yadav,LAG
1,142,FAP8629374,08:01:23,08:04:23,V. Priya Reddy,LAG
1,177,PEQ6816091,10:23:15,10:24:15,V. Priya Reddy,LAG
8,1474,CGP5674746,15:41:31,15:43:31,U. Anjali Yadav,VUN
1,75,EEL5839177,13:38:54,13:39:54,D. Rahul Singh,VUN
1,294,IGS2225152,08:24:46,08:26:46,Y. Sneha Kumar,ZAR
4,801,DCS7351708,08:09:45,08:10:45,C. Suresh Singh,NOD
6,1247,BLX8148666,08:59:51,09:00:51,A. Lakshmi Sharma,BIR
6,1175,JXV2171028,14:15:20,14:16:20,A. Manoj Naidu,KEM
2,519,EQG4139929,10:44:37,10:45:37,N. Ravi Singh,QOP
7,1307,JTG8305423,11:07:33,11:08:33,A. Anil Reddy,BIR
2,451,XHY1264856,09:59:57,10:02:57,N. Ravi Singh,QOP
6,1214,VLS1796144,13:05:51,13:08:51,K. Anil Das,MEX
4,923,WNL9862668,16:48:27,16:50:27,C. Suresh Singh,NOD
1,312,HOQ9215091,13:24:15,13:25:15,C. Suresh Naidu,MEX
1,178,LDD0235178,14:52:02,14:53:02,D. Rahul Singh,VUN
6,1153,ZVN1153717,13:03:10,13:06:10,A. Lakshmi Sharma,BIR
7,1252,RPN0575973,14:07:41,14:09:41,K. Meena Babu,VUN
1,48,ZGH9907676,14:13:34,14:16:34,Y. Sneha Kumar,ZAR
