CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED,PARTY_VOTED,MACHINE_ID
2,480,OYS2558337,12:54:31,12:56:31,W. Rahul Reddy,TDP,M1
2,480,FBZ1147068,09:07:27,09:08:27,N. Ravi Singh,AAP,M1
2,480,JXS7363086,16:44:07,16:45:07,W. Rahul Reddy,TDP,M2
2,480,AWW2290924,14:24:20,14:27:20,Z. Sanjay Yadav,JD(U),M3
2,480,SKE0486177,14:41:16,14:44:16,W. Rahul Reddy,TDP,M3
6,1249,ENA1796608,10:16:44,10:18:44,A. Lakshmi Sharma,CPM,M1
6,1249,ITY8908514,09:09:19,09:10:19,A. Lakshmi Sharma,CPM,M1
6,1249,TIS9247438,15:51:06,15:54:06,Z. Latha Reddy,BSP,M1
6,1249,YNC8875922,09:56:07,09:59:07,A. Manoj Naidu,DMK,M2
6,1249,TPT7580394,09:38:46,09:41:46,A. Lakshmi Sharma,CPM,M3
4,976,CHH7682524,10:48:20,10:50:20,W. Vijay Babu,SP,M1
4,976,YJI9509230,08:10:35,08:11:35,H. Divya Yadav,TDP,M2
4,976,VCV6228895,08:32:17,08:34:17,C. Suresh Singh,YSRCP,M3
4,860,MMK6121553,11:26:14,11:27:14,W. Vijay Babu,SP,M1
4,860,JVA2687042,11:48:29,11:50:29,C. Suresh Singh,YSRCP,M1
4,860,SIW2336698,16:51:46,16:54:46,H. Divya Yadav,TDP,M1
4,860,UCS3577832,08:11:56,08:14:56,W. Vijay Babu,SP,M2
4,860,IVJ6064043,11:06:54,11:08:54,W. Vijay Babu,SP,M3
4,922,DYZ9553815,13:46:13,13:49:13,W. Vijay Babu,SP,M1
4,922,EWP4007422,10:21:17,10:22:17,H. Divya Yadav,TDP,M1
4,922,QRC8554874,12:52:36,12:54:36,C. Suresh Singh,YSRCP,M2
4,922,YPO3953474,12:02:32,12:05:32,W. Vijay Babu,SP,M2
4,922,GJG2459847,12:09:36,12:11:36,C. Suresh Singh,YSRCP,M2
4,922,KNW8621393,13:08:23,13:11:23,C. Suresh Singh,YSRCP,M3
6,1210,HGD0932111,12:58:18,13:00:18,K. Anil Das,INC,M1
6,1210,HWT9953292,13:17:47,13:18:47,Z. Latha Reddy,BSP,M1
6,1210,XVV0481653,13:08:26,13:11:26,A. Lakshmi Sharma,CPM,M2
6,1210,ZHG4495155,10:04:02,10:05:02,K. Anil Das,INC,M3
3,661,KWL9120356,09:56:28,09:58:28,R. Rahul Babu,BJP,M2
3,661,SPV9344836,10:37:19,10:38:19,S. Kavya Joshi,BSP,M2
3,661,WCY1121089,12:04:10,12:06:10,T. Priya Naidu,INC,M3
3,661,NDF1705385,13:20:26,13:21:26,Y. Suresh Sharma,BRS,M3
3,661,DLR7947140,09:22:09,09:25:09,R. Rahul Babu,BJP,M3
1,42,OMC7435547,10:09:28,10:11:28,C. Suresh Naidu,INC,M1
1,42,SAW8254923,08:46:12,08:49:12,V. Priya Reddy,JD(U),M1
1,42,BPP7998036,11:36:53,11:38:53,Y. Sneha Kumar,BJP,M2
1,42,PHV1396668,15:44:51,15:46:51,C. Suresh Naidu,INC,M2
1,42,PLJ6563535,08:35:23,08:36:23,D. Rahul Singh,TDP,M3
2,542,BRO9796426,13:28:10,13:29:10,T. Rahul Singh,INC,M2
2,542,TXO7703033,13:28:53,13:30:53,N. Ravi Singh,AAP,M2
2,542,WBW9546078,13:23:22,13:24:22,Z. Sanjay Yadav,JD(U),M2
2,542,SRP3397464,16:51:07,16:54:07,W. Rahul Reddy,TDP,M2
2,542,SDA3416528,12:17:40,12:19:40,Z. Sanjay Yadav,JD(U),M3
2,478,YOT9575065,11:51:55,11:53:55,Z. Sanjay Yadav,JD(U),M3
2,478,UGR7370377,09:28:44,09:29:44,Z. Sanjay Yadav,JD(U),M3
2,478,AJZ1234250,12:02:24,12:05:24,N. Ravi Singh,AAP,M3
2,478,MEE9049920,10:35:09,10:37:09,T. Rahul Singh,INC,M3
7,1307,JTG8305423,08:13:07,08:16:07,A. Anil Reddy,CPM,M1
7,1307,BML6878913,08:49:11,08:51:11,L. Anil Yadav,DMK,M1
7,1307,VIJ9691569,12:32:42,12:33:42,A. Anil Reddy,CPM,M2
7,1307,UQG7540089,09:57:47,09:58:47,R. Kavya Yadav,JD(U),M2
1,279,CHL5465049,13:32:10,13:35:10,D. Rahul Singh,TDP,M1
1,279,GCR1463297,16:43:03,16:44:03,Y. Sneha Kumar,BJP,M2
1,279,KAX1143363,12:06:32,12:07:32,C. Suresh Naidu,INC,M2
1,279,EQS9138228,08:20:30,08:23:30,Y. Sneha Kumar,BJP,M3
1,279,LFR0643686,09:05:03,09:08:03,Y. Sneha Kumar,BJP,M3
1,279,OSM3112840,08:55:43,08:57:43,D. Rahul Singh,TDP,M3
4,876,KGY3687345,16:13:13,16:15:13,W. Vijay Babu,SP,M2
4,876,OSY5539769,15:51:22,15:52:22,H. Divya Yadav,TDP,M3
7,1306,ZBA0508875,12:25:43,12:26:43,A. Anil Reddy,CPM,M1
7,1306,XQR3453598,13:47:30,13:48:30,A. Anil Reddy,CPM,M1
7,1306,ACU2107896,12:36:32,12:39:32,K. Meena Babu,TDP,M2
7,1306,TKD0849036,16:14:36,16:17:36,R. Kavya Yadav,JD(U),M3
7,1306,QWJ6838031,16:45:22,16:47:22,A. Anil Reddy,CPM,M3
2,519,EQG4139929,08:00:25,08:02:25,T. Rahul Singh,INC,M1
2,519,ATY1338678,12:29:16,12:32:16,N. Ravi Singh,AAP,M1
2,519,MRF7085685,15:21:18,15:24:18,Z. Sanjay Yadav,JD(U),M2
2,519,KUX8701236,12:46:32,12:47:32,N. Ravi Singh,AAP,M2
2,519,GTW1389474,08:13:42,08:16:42,N. Ravi Singh,AAP,M3
3,686,BUC6395983,08:37:35,08:39:35,R. Rahul Babu,BJP,M1
3,686,ULE6161013,15:15:40,15:16:40,S. Kavya Joshi,BSP,M1
3,686,KNI3079144,15:37:03,15:38:03,S. Kavya Joshi,BSP,M1
3,686,SOD5323413,08:24:26,08:26:26,Y. Suresh Sharma,BRS,M1
3,686,LAK6356579,14:57:21,14:59:21,S. Kavya Joshi,BSP,M2
3,686,OFO5842766,09:41:28,09:44:28,S. Kavya Joshi,BSP,M2
3,686,NBI4969721,09:15:45,09:18:45,R. Rahul Babu,BJP,M3
4,886,YIO9658676,10:14:31,10:16:31,C. Suresh Singh,YSRCP,M1
4,886,NCU0717215,08:35:30,08:37:30,C. Suresh Singh,YSRCP,M2
4,886,STL0020554,14:44:40,14:45:40,H. Divya Yadav,TDP,M2
4,886,JBR3713034,14:51:08,14:53:08,H. Divya Yadav,TDP,M3
4,886,AKJ9582193,09:27:46,09:28:46,C. Suresh Singh,YSRCP,M3
7,1315,OTK8959749,13:17:17,13:20:17,L. Anil Yadav,DMK,M1
7,1315,FOU7411874,09:02:04,09:04:04,R. Kavya Yadav,JD(U),M2
7,1315,LOG2533199,14:53:16,14:55:16,A. Anil Reddy,CPM,M3
7,1315,QRZ8840462,12:42:44,12:43:44,R. Kavya Yadav,JD(U),M3
1,292,FAF8139410,08:03:02,08:04:02,C. Suresh Naidu,INC,M1
1,292,RXW4237278,15:26:04,15:29:04,C. Suresh Naidu,INC,M2
1,292,LYE1517512,09:10:24,09:13:24,V. Priya Reddy,JD(U),M2
