Voter ID,Name,Gender,Age
RXC4025016,E. Rahul Reddy,Male,20
IEY3008687,W. Divya Singh,Female,37
XJE0679883,U. Ravi Babu,Male,51
PES1396568,W. Latha Reddy,Female,50
FYW3639422,I. Arun Reddy,Male,38
CBC6740395,Q. Lakshmi Joshi,Female,56
LLY8251982,D. Vijay Naidu,Male,28
XPM1398225,Y. Anil Das,Male,31
DMO2842572,Y. Manoj Kumar,Male,25
FIP2206298,D. Kavya Verma,Female,53
DYO4781044,G. Vikram Das,Male,64
UCE5114808,X. Radha Yadav,Female,22
EMF4039274,Y. Vijay Verma,Male,22
BIB4950580,S. Latha Das,Female,61
PQK5592723,H. Kiran Babu,Male,39
ZZB2298831,O. Kavya Babu,Female,59
DCO2672624,E. Meena Naidu,Female,18
UQG7540089,A. Kiran Yadav,Male,26
BJY9036635,N. Sanjay Kumar,Male,51
TIY8882718,A. Anjali Kumar,Female,31
FRK2073568,J. Anjali Verma,Female,37
API7491810,S. Radha Naidu,Female,20
BRI3873344,L. Meena Singh,Female,18
HOA2456442,T. Anjali Babu,Female,29
RFF0248046,C. Radha Verma,Female,33
XWX7286459,E. Manoj Sharma,Male,52
ITL8849418,R. Suresh Babu,Male,58
HCH2351267,P. Anjali Verma,Female,41
BVK7908549,O. Kiran Singh,Male,55
FLA3641416,H. Sneha Joshi,Female,52
DMB3237378,C. Sanjay Singh,Male,53
QUQ7910116,L. Divya Verma,Female,25
ZSU1359593,T. Rahul Babu,Male,59
WPD9734353,W. Sanjay Naidu,Male,24
LTZ2854472,W. Radha Kumar,Female,61
ORI4343225,Y. Rahul Joshi,Male,25
MTR6470263,H. Meena Singh,Female,18
SHG1115712,K. Meena Yadav,Female,60
VHJ3710029,J. Lakshmi Reddy,Female,42
EBY4840601,O. Sita Yadav,Female,27
FNL4893667,T. Anjali Babu,Female,25
OEK6402280,H. Rahul Kumar,Male,36
FDG1075894,D. Sanjay Das,Male,41
CBL3209859,P. Sneha Joshi,Female,45
XEP6403368,U. Latha Joshi,Female,21
CGD7880840,B. Divya Joshi,Female,54
YLS1962155,R. Divya Kumar,Female,62
MSN2892539,U. Ravi Kumar,Male,38
GAS8568443,Z. Rahul Das,Male,24
WKI4939761,M. Kavya Verma,Female,58
CXA1890726,D. Vijay Joshi,Male,29
WAB6997406,K. Kavya Joshi,Female,25
UHJ1557108,B. Suresh Yadav,Male,57
LRX4250992,O. Sanjay Naidu,Male,62
GOO9296256,P. Divya Reddy,Female,40
FEG7761060,Z. Rahul Yadav,Male,62
IKF7835219,C. Lakshmi Naidu,Female,20
WSZ9837054,E. Kavya Verma,Female,44
WOX2089341,A. Kavya Babu,Female,52
DLR7947140,H. Manoj Das,Male,45
YWC6593311,O. Priya Joshi,Female,54
GDO0722831,B. Anjali Yadav,Female,26
CWD3750214,I. Suresh Kumar,Male,42
CNY0785490,Q. Manoj Babu,Male,23
IDD6573525,C. Sneha Reddy,Female,54
XKV3733296,N. Radha Joshi,Female,26
TJD0956489,N. Radha Reddy,Female,24
PFR2183758,L. Priya Reddy,Female,22
XJE1607905,W. Arun Naidu,Male,41
UOC0166264,X. Divya Yadav,Female,55
CRP5329029,L. Priya Singh,Female,55
TEJ7588080,A. Rahul Joshi,Male,40
KQH4919463,N. Ravi Babu,Male,59
WTF7065173,C. Anjali Singh,Female,27
PTR1747749,G. Ravi Kumar,Male,39
UPJ0403269,U. Latha Naidu,Female,46
LVQ3410183,R. Kiran Sharma,Male,63
ZNP3937606,W. Suresh Joshi,Male,63
HSR9835139,V. Kavya Singh,Female,23
QID7999065,R. Lakshmi Singh,Female,29
EZE2755756,K. Rahul Joshi,Male,50
VEL4624274,W. Suresh Babu,Male,51
ZMH3598812,V. Manoj Babu,Male,45
THX1492430,J. Meena Reddy,Female,51
JAY8671286,M. Vijay Reddy,Male,53
GVO7512304,C. Manoj Sharma,Male,60
QOS2035165,R. Radha Sharma,Female,23
OKM6920737,Z. Meena Das,Female,24
VEU4668074,R. Suresh Yadav,Male,47
KVM0628062,J. Sita Das,Female,36
RJU2044912,F. Sneha Joshi,Female,57
SEL4796467,O. Anil Babu,Male,25
YDP7007335,Z. Kiran Kumar,Male,24
ONK6217435,Y. Anil Reddy,Male,58
FDB1798996,W. Divya Joshi,Female,41
NDF1705385,Z. Rahul Yadav,Male,44
TVB9646387,Q. Rahul Singh,Male,23
DEI7398826,D. Kiran Das,Male,29
PPE6939080,U. Priya Kumar,Female,29
HYM8620044,U. Lakshmi Das,Female,36
TWZ1353422,W. Sanjay Yadav,Male,48
