CON_ID,POLLING_BOOTH_ID,Voter ID,Name,Gender,Age
3,712,RXC4025016,E. Rahul Reddy,Male,20
2,553,IEY3008687,W. Divya Singh,Female,37
6,1142,XJE0679883,U. Ravi Babu,Male,51
3,761,PES1396568,W. Latha Reddy,Female,50
3,720,FYW3639422,I. Arun Reddy,Male,38
1,243,CBC6740395,Q. Lakshmi Joshi,Female,56
8,1390,LLY8251982,D. Vijay Naidu,Male,28
6,1150,XPM1398225,Y. Anil Das,Male,31
3,776,DMO2842572,Y. Manoj Kumar,Male,25
1,36,FIP2206298,D. Kavya Verma,Female,53
2,566,DYO4781044,G. Vikram Das,Male,64
6,1177,UCE5114808,X. Radha Yadav,Female,22
7,1356,EMF4039274,Y. Vijay Verma,Male,22
7,1335,BIB4950580,S. Latha Das,Female,61
1,34,PQK5592723,H. Kiran Babu,Male,39
8,1471,ZZB2298831,O. Kavya Babu,Female,59
1,147,DCO2672624,E. Meena Naidu,Female,18
7,1307,UQG7540089,A. Kiran Yadav,Male,26
4,997,BJY9036635,N. Sanjay Kumar,Male,51
5,1119,TIY8882718,A. Anjali Kumar,Female,31
7,1288,FRK2073568,J. Anjali Verma,Female,37
3,694,API7491810,S. Radha Naidu,Female,20
1,34,BRI3873344,L. Meena Singh,Female,18
2,537,HOA2456442,T. Anjali Babu,Female,29
8,1450,RFF0248046,C. Radha Verma,Female,33
7,1361,XWX7286459,E. Manoj Sharma,Male,52
1,18,ITL8849418,R. Suresh Babu,Male,58
8,1480,HCH2351267,P. Anjali Verma,Female,41
1,314,BVK7908549,O. Kiran Singh,Male,55
3,672,FLA3641416,H. Sneha Joshi,Female,52
4,857,DMB3237378,C. Sanjay Singh,Male,53
7,1354,QUQ7910116,L. Divya Verma,Female,25
1,103,ZSU1359593,T. Rahul Babu,Male,59
2,481,WPD9734353,W. Sanjay Naidu,Male,24
6,1177,LTZ2854472,W. Radha Kumar,Female,61
5,1104,ORI4343225,Y. Rahul Joshi,Male,25
3,777,MTR6470263,H. Meena Singh,Female,18
5,1021,SHG1115712,K. Meena Yadav,Female,60
4,967,VHJ3710029,J. Lakshmi Reddy,Female,42
4,816,EBY4840601,O. Sita Yadav,Female,27
1,325,FNL4893667,T. Anjali Babu,Female,25
6,1204,OEK6402280,H. Rahul Kumar,Male,36
3,705,FDG1075894,D. Sanjay Das,Male,41
7,1288,CBL3209859,P. Sneha Joshi,Female,45
1,226,XEP6403368,U. Latha Joshi,Female,21
1,122,CGD7880840,B. Divya Joshi,Female,54
3,586,YLS1962155,R. Divya Kumar,Female,62
1,36,MSN2892539,U. Ravi Kumar,Male,38
4,880,GAS8568443,Z. Rahul Das,Male,24
1,74,WKI4939761,M. Kavya Verma,Female,58
4,992,CXA1890726,D. Vijay Joshi,Male,29
4,870,WAB6997406,K. Kavya Joshi,Female,25
5,1106,UHJ1557108,B. Suresh Yadav,Male,57
1,147,LRX4250992,O. Sanjay Naidu,Male,62
2,523,GOO9296256,P. Divya Reddy,Female,40
3,581,FEG7761060,Z. Rahul Yadav,Male,62
8,1472,IKF7835219,C. Lakshmi Naidu,Female,20
1,44,WSZ9837054,E. Kavya Verma,Female,44
6,1242,WOX2089341,A. Kavya Babu,Female,52
3,661,DLR7947140,H. Manoj Das,Male,45
2,456,YWC6593311,O. Priya Joshi,Female,54
1,148,GDO0722831,B. Anjali Yadav,Female,26
3,734,CWD3750214,I. Suresh Kumar,Male,42
4,862,CNY0785490,Q. Manoj Babu,Male,23
3,757,IDD6573525,C. Sneha Reddy,Female,54
6,1200,XKV3733296,N. Radha Joshi,Female,26
3,771,TJD0956489,N. Radha Reddy,Female,24
1,192,PFR2183758,L. Priya Reddy,Female,22
1,170,XJE1607905,W. Arun Naidu,Male,41
4,829,UOC0166264,X. Divya Yadav,Female,55
3,613,CRP5329029,L. Priya Singh,Female,55
2,403,TEJ7588080,A. Rahul Joshi,Male,40
8,1487,KQH4919463,N. Ravi Babu,Male,59
2,466,WTF7065173,C. Anjali Singh,Female,27
1,227,PTR1747749,G. Ravi Kumar,Male,39
2,404,UPJ0403269,U. Latha Naidu,Female,46
4,849,LVQ3410183,R. Kiran Sharma,Male,63
8,1498,ZNP3937606,W. Suresh Joshi,Male,63
1,26,HSR9835139,V. Kavya Singh,Female,23
8,1439,QID7999065,R. Lakshmi Singh,Female,29
5,1071,EZE2755756,K. Rahul Joshi,Male,50
4,940,VEL4624274,W. Suresh Babu,Male,51
2,547,ZMH3598812,V. Manoj Babu,Male,45
2,369,THX1492430,J. Meena Reddy,Female,51
4,974,JAY8671286,M. Vijay Reddy,Male,53
8,1506,GVO7512304,C. Manoj Sharma,Male,60
1,174,QOS2035165,R. Radha Sharma,Female,23
2,369,OKM6920737,Z. Meena Das,Female,24
6,1186,VEU4668074,R. Suresh Yadav,Male,47
2,517,KVM0628062,J. Sita Das,Female,36
1,160,RJU2044912,F. Sneha Joshi,Female,57
5,1063,SEL4796467,O. Anil Babu,Male,25
8,1390,YDP7007335,Z. Kiran Kumar,Male,24
8,1401,ONK6217435,Y. Anil Reddy,Male,58
4,838,FDB1798996,W. Divya Joshi,Female,41
3,661,NDF1705385,Z. Rahul Yadav,Male,44
8,1473,TVB9646387,Q. Rahul Singh,Male,23
2,413,DEI7398826,D. Kiran Das,Male,29
1,146,PPE6939080,U. Priya Kumar,Female,29
7,1291,HYM8620044,U. Lakshmi Das,Female,36
5,1023,TWZ1353422,W. Sanjay Yadav,Male,48
7,1268,ZXV9711948,N. Rahul Verma,Male,22
1,282,FJB4864584,O. Radha Verma,Female,20
5,1113,FOB5729619,S. Sneha Das,Female,50
2,530,NNB1344653,G. Kavya Babu,Female,51
5,1027,VNS2836957,K. Sneha Das,Female,32
1,177,PEQ6816091,H. Rahul Sharma,Male,60
2,519,KUX8701236,N. Anil Verma,Male,57
