Voter ID,Name,Gender,DOB,Father's Name / Husband's Name
RXC4025016,E. Rahul Reddy,Male,2004-10-09,Vikram Verma
IEY3008687,W. Divya Singh,Female,1987-03-29,Arun Kumar
XJE0679883,U. Ravi Babu,Male,1973-01-21,Vijay Naidu
SRB6524296,V. Kavya Naidu,Female,1949-12-26,Anil Verma
KBX5724861,B. Anil Yadav,Male,1945-08-06,Arun Verma
LPJ9147811,X. Vijay Babu,Male,1984-11-21,Vijay Naidu
ZWA7652614,Q. Radha Naidu,Female,1953-07-05,Sanjay Joshi
WHQ6175750,Q. Priya Reddy,Female,2006-09-22,Vijay Kumar
GOC7895169,H. Sita Sharma,Female,1963-03-08,Anil Naidu
TRS3638420,G. Vijay Das,Male,1983-03-28,Sanjay Singh
BQF9802621,H. Vijay Sharma,Male,1954-03-28,Vikram Babu
JKW0660781,D. Divya Singh,Female,1985-03-20,Vikram Reddy
HGY4850989,N. Vijay Kumar,Male,1989-12-14,Manoj Kumar
XEA3972677,G. Kiran Singh,Male,1992-02-05,Manoj Joshi
BIB4950580,X. Anjali Das,Female,1993-02-16,Arun Babu
PBC6532632,S. Vikram Verma,Male,1946-06-10,Kiran Reddy
AQO0551302,Y. Rahul Reddy,Male,1946-10-04,Manoj Yadav
AVH6911152,Z. Divya Das,Female,1992-11-11,Rahul Babu
GXB6803191,Q. Anil Joshi,Male,1942-08-21,Vikram Naidu
OVP1138788,W. Sneha Kumar,Female,1957-07-10,Ravi Reddy
WKQ1989880,Y. Vikram Das,Male,1945-10-29,Ravi Yadav
JBM1938826,F. Sneha Reddy,Female,1936-10-28,Vikram Naidu
KZN9191921,U. Priya Das,Female,1977-07-26,Rahul Yadav
EBL5869714,M. Kavya Babu,Female,1976-01-02,Vijay Reddy
RIS5163715,Q. Kavya Naidu,Female,1951-02-10,Ravi Naidu
PIL6579762,Z. Sita Babu,Female,1957-11-10,Vikram Singh
BZP7485733,E. Anjali Sharma,Female,1998-08-21,Vikram Verma
USM5911455,H. Arun Kumar,Male,1948-02-28,Ravi Singh
XTM2267562,R. Divya Joshi,Female,1939-04-05,Vijay Singh
XCD3124340,K. Rahul Yadav,Male,1943-01-01,Vikram Naidu
AJT8947562,M. Lakshmi Joshi,Female,1972-01-28,Arun Babu
RUS8995956,M. Kiran Yadav,Male,1982-07-13,Manoj Sharma
GIL3829484,F. Kiran Sharma,Male,1949-05-09,Suresh Joshi
YFA1165267,Y. Vikram Sharma,Male,1975-08-15,Ravi Sharma
PYO9391582,J. Sanjay Reddy,Male,1952-08-29,Ravi Kumar
LJN3881968,L. Lakshmi Das,Female,1945-08-18,Sanjay Sharma
UMV5329247,T. Suresh Das,Male,1967-12-12,Vijay Naidu
JGH5855124,P. Sita Verma,Female,1976-11-01,Anil Kumar
CFR3545473,Z. Manoj Sharma,Male,1945-01-22,Manoj Joshi
TYR1725759,K. Priya Reddy,Female,1982-09-17,Ravi Verma
SDB0296710,J. Vikram Sharma,Male,1980-06-09,Anil Kumar
CBM5618902,I. Divya Joshi,Female,1964-11-26,Suresh Sharma
XHP4509076,M. Lakshmi Joshi,Female,1952-08-15,Vikram Das
ALP2277469,C. Radha Kumar,Female,1947-10-08,Suresh Das
XVB1375216,U. Ravi Kumar,Male,1968-11-16,Vijay Verma
XTP0268507,T. Meena Sharma,Female,1982-08-05,Manoj Reddy
XEP6403368,Q. Sita Joshi,Female,1955-04-27,Suresh Joshi
CGD7880840,B. Divya Joshi,Female,1970-02-01,Kiran Das
DHW4067730,I. Divya Das,Female,1951-02-27,Arun Verma
MSN2892539,D. Anjali Kumar,Female,1998-08-27,Ravi Joshi
GAS8568443,Z. Rahul Das,Male,2000-10-02,Kiran Yadav
WKI4939761,M. Kavya Verma,Female,1966-03-02,Vikram Babu
CXA1890726,D. Vijay Joshi,Male,1995-09-10,Sanjay Yadav
WAB6997406,K. Radha Joshi,Female,1948-09-19,Vijay Singh
UHJ1557108,B. Suresh Yadav,Male,1967-03-19,Rahul Sharma
LRX4250992,O. Sanjay Naidu,Male,1962-05-15,Suresh Verma
CJJ2608308,M. Priya Joshi,Female,1945-01-31,Rahul Verma
FEG7761060,T. Manoj Yadav,Male,1952-08-12,Rahul Verma
IKF7835219,C. Lakshmi Naidu,Female,2004-01-09,Anil Kumar
WSZ9837054,E. Kavya Verma,Female,1980-07-15,Manoj Reddy
MQY3666476,V. Sneha Verma,Female,1954-07-29,Anil Reddy
CXD4679471,P. Arun Reddy,Male,1994-06-23,Arun Naidu
RFL2393960,I. Radha Sharma,Female,1948-04-05,Sanjay Singh
QPA7215072,V. Radha Verma,Female,1989-12-27,Manoj Reddy
WDD2160072,A. Anil Naidu,Male,1986-02-11,Suresh Babu
NTM7515907,E. Latha Singh,Female,2005-08-07,Rahul Sharma
MXB0602653,N. Sita Reddy,Female,1965-12-03,Manoj Singh
SFL2344046,U. Meena Das,Female,1966-04-24,Ravi Reddy
TJD0956489,N. Divya Reddy,Female,1993-04-28,Ravi Reddy
PFR2183758,L. Sita Reddy,Female,1942-04-30,Sanjay Naidu
XJE1607905,I. Rahul Naidu,Male,1952-05-19,Arun Kumar
UOC0166264,X. Divya Yadav,Female,1969-05-08,Anil Naidu
CRP5329029,L. Priya Singh,Female,1969-11-10,Vijay Reddy
MLD5256337,D. Rahul Sharma,Male,1938-06-17,Rahul Yadav
OSK1038689,S. Divya Singh,Female,2005-05-02,Ravi Yadav
NKI3315159,S. Ravi Singh,Male,1967-11-02,Vikram Singh
PTR1747749,G. Latha Kumar,Female,1975-07-09,Suresh Naidu
UPJ0403269,O. Kavya Naidu,Female,1950-09-30,Ravi Joshi
OUX4863410,O. Sanjay Babu,Male,1951-11-04,Vijay Singh
SZN6393760,B. Ravi Verma,Male,1976-03-16,Vijay Kumar
HSR9835139,V. Kavya Singh,Female,2001-02-07,Ravi Das
QID7999065,R. Lakshmi Singh,Female,1995-06-13,Ravi Naidu
EZE2755756,K. Rahul Joshi,Male,1974-06-27,Suresh Verma
VEL4624274,F. Kiran Babu,Male,1953-06-08,Suresh Kumar
ZMH3598812,V. Manoj Babu,Male,1979-04-03,Vikram Yadav
THX1492430,J. Meena Reddy,Female,1973-09-18,Vijay Reddy
JAY8671286,M. Vijay Reddy,Male,1971-06-13,Anil Verma
AFD9647212,A. Manoj Reddy,Male,1938-12-09,Manoj Babu
QOS2035165,R. Radha Sharma,Female,2001-05-19,Manoj Babu
OKM6920737,Z. Meena Das,Female,2000-12-11,Vijay Das
OVE7466807,B. Sanjay Yadav,Male,1937-10-20,Anil Kumar
XII3840628,Z. Priya Verma,Female,2003-09-13,Vikram Sharma
LKL9316372,Z. Anil Yadav,Male,1948-03-09,Rahul Reddy
OIC6364630,T. Kiran Kumar,Male,1941-10-14,Ravi Singh
JUR9167007,V. Sneha Singh,Female,1951-11-09,Arun Reddy
YJT5536217,E. Sneha Joshi,Female,1974-07-12,Arun Babu
SFP6921017,Y. Sneha Naidu,Female,1960-07-26,Ravi Naidu
HHE7713297,R. Anil Das,Male,1945-11-02,Anil Reddy
JUO6039757,R. Manoj Babu,Male,1936-02-10,Arun Yadav
IWU6194901,O. Anil Das,Male,1995-10-10,Ravi Joshi
IYX8265135,W. Suresh Verma,Male,1979-09-25,Suresh Yadav
SPV5800656,V. Sanjay Babu,Male,1953-12-03,Suresh Kumar
MUR2004426,U. Sita Naidu,Female,1951-07-25,Vijay Naidu
NCG1410984,E. Kavya Yadav,Female,1942-07-27,Anil Singh
MNM3095923,Y. Sanjay Kumar,Male,1977-08-22,Anil Verma
ACD2340053,J. Manoj Das,Male,1981-10-10,Sanjay Joshi
HZR1937397,Y. Sneha Das,Female,2000-06-02,Vijay Joshi
BSU5181933,B. Vijay Sharma,Male,1952-12-19,Kiran Das
HVJ6957760,P. Kavya Babu,Female,1953-10-01,Vijay Das
NSU3825714,P. Lakshmi Kumar,Female,1983-03-13,Arun Babu
XWT0123653,Y. Sneha Babu,Female,1993-06-06,Kiran Das
PEG5292227,L. Vijay Naidu,Male,1965-10-11,Anil Das
RJZ8982273,D. Kavya Babu,Female,1963-12-21,Rahul Naidu
YSD6526560,R. Priya Naidu,Female,1948-03-02,Vikram Verma
KYW4193690,R. Divya Kumar,Female,1977-05-20,Suresh Sharma
ZKM9998051,F. Arun Sharma,Male,1959-01-03,Suresh Singh
WMF1142177,P. Divya Kumar,Female,1981-06-27,Vijay Das
CRE1322279,Q. Sanjay Yadav,Male,1991-04-10,Kiran Singh
MER9876693,B. Lakshmi Reddy,Female,1954-10-05,Anil Verma
JSX7887657,O. Suresh Babu,Male,1987-05-11,Manoj Kumar
XFN1846748,B. Kavya Das,Female,1959-08-19,Sanjay Reddy
OOR3020204,N. Divya Joshi,Female,2002-01-09,Suresh Das
KTT9649389,B. Arun Naidu,Male,1958-06-20,Ravi Joshi
KDZ8794743,F. Meena Das,Female,1999-10-26,Anil Reddy
YSC8478021,I. Manoj Verma,Male,1984-10-23,Anil Kumar
KGF8052873,X. Sanjay Sharma,Male,1966-12-19,Arun Verma
HOP7165036,N. Priya Naidu,Female,1985-10-06,Vijay Verma
JTM8378959,E. Meena Naidu,Female,1936-07-08,Kiran Singh
XWC7126681,K. Vikram Reddy,Male,1972-03-03,Rahul Verma
YZD9426295,A. Vikram Verma,Male,1964-01-04,Anil Naidu
NMC9489345,I. Divya Yadav,Female,1972-11-12,Anil Naidu
PKD3384662,R. Suresh Babu,Male,1940-07-07,Arun Naidu
MXO6008967,E. Divya Das,Female,1942-02-07,Anil Kumar
LBQ9960540,G. Anjali Das,Female,1994-09-06,Suresh Sharma
NGQ2370942,D. Priya Reddy,Female,1958-12-14,Kiran Kumar
JMQ7086399,M. Ravi Singh,Male,1980-02-08,Arun Reddy
YRH5618021,I. Vikram Sharma,Male,1986-05-28,Sanjay Joshi
VKX3719759,H. Priya Babu,Female,2000-02-11,Suresh Babu
TYK7029439,K. Kiran Babu,Male,1998-04-03,Vikram Reddy
SCE7673103,J. Lakshmi Verma,Female,1990-05-09,Ravi Babu
ONC0557804,N. Priya Joshi,Female,1938-09-18,Ravi Kumar
REG2112273,Q. Vijay Kumar,Male,1941-12-27,Vikram Babu
CHY3683388,G. Manoj Joshi,Male,1942-05-05,Sanjay Babu
EKI7697327,P. Anil Yadav,Male,1980-01-24,Sanjay Verma
ASY2780876,V. Lakshmi Das,Female,1996-10-19,Vijay Kumar
SUB9445965,V. Rahul Kumar,Male,1950-03-13,Vikram Naidu
RJQ0963794,Y. Meena Verma,Female,1944-01-26,Ravi Reddy
ORF3466194,X. Rahul Das,Male,1998-03-03,Vikram Das
LFM4463381,J. Radha Yadav,Female,1969-09-12,Suresh Yadav
OIL4761637,Q. Radha Kumar,Female,1948-11-19,Suresh Verma
FTV0181342,A. Sanjay Verma,Male,1966-09-07,Kiran Singh
JVQ8726011,S. Kavya Reddy,Female,1959-09-03,Sanjay Singh
POK4599112,M. Latha Singh,Female,1996-07-10,Suresh Das
MFJ5644741,L. Manoj Sharma,Male,1978-10-17,Sanjay Sharma
NEL7751178,I. Vikram Verma,Male,1935-08-13,Rahul Sharma
CVT2943849,G. Sita Singh,Female,1958-05-22,Manoj Das
EDF2032537,U. Sanjay Singh,Male,1988-03-09,Anil Babu
XZW1827876,E. Priya Singh,Female,1955-08-20,Vijay Reddy
QWC5293930,O. Lakshmi Reddy,Female,1994-04-06,Kiran Singh
KZV4325187,Z. Manoj Das,Male,1941-06-10,Anil Reddy
LAY2616192,D. Ravi Kumar,Male,2002-11-23,Manoj Sharma
STL0020554,M. Radha Naidu,Female,1984-07-21,Suresh Sharma
MFC8132388,W. Anil Kumar,Male,1944-08-11,Ravi Singh
LSQ1468017,T. Vijay Kumar,Male,2000-11-17,Sanjay Sharma
GPS2908826,I. Sneha Reddy,Female,1975-06-24,Suresh Verma
MCM5599918,Z. Kiran Verma,Male,1939-12-04,Rahul Sharma
BGB0756547,A. Meena Babu,Female,1974-03-27,Manoj Reddy
CCX9135766,E. Vijay Naidu,Male,1949-07-20,Vijay Babu
YDP0661010,H. Sneha Reddy,Female,1944-05-02,Vikram Sharma
TWT1834529,L. Meena Kumar,Female,1975-11-30,Rahul Kumar
WEE7861708,B. Manoj Joshi,Male,1962-07-04,Vijay Yadav
EYA8762293,M. Arun Kumar,Male,1985-01-28,Manoj Yadav
EUZ9042835,V. Anil Sharma,Male,1955-09-28,Ravi Das
TGJ9977571,Z. Vikram Naidu,Male,1973-12-02,Rahul Babu
YAR8715240,U. Anjali Sharma,Female,2004-11-14,Vijay Yadav
KXL7556350,H. Rahul Das,Male,1943-03-04,Ravi Sharma
STI2027511,Z. Rahul Singh,Male,1985-10-10,Rahul Yadav
MWC8376281,O. Sneha Naidu,Female,1978-11-04,Anil Verma
GZA4472481,V. Kiran Naidu,Male,1975-02-07,Vijay Sharma
RYC5909168,M. Vikram Yadav,Male,2001-06-26,Suresh Verma
YLS4343924,B. Ravi Kumar,Male,1977-04-09,Arun Joshi
MWM0346729,H. Sanjay Naidu,Male,2003-11-28,Sanjay Babu
IOI2050828,Z. Anil Joshi,Male,1972-09-13,Manoj Das
RGV9092873,D. Kavya Verma,Female,1959-07-09,Vikram Kumar
XAS9551984,Z. Vikram Yadav,Male,1991-03-21,Sanjay Yadav
AMI6831880,T. Divya Verma,Female,1991-04-08,Arun Verma
JYK1311979,L. Suresh Reddy,Male,1954-05-22,Ravi Das
VJT2107587,H. Meena Babu,Female,1991-05-22,Sanjay Yadav
CMI0336986,H. Sanjay Babu,Male,1990-09-06,Anil Babu
USB4414833,L. Sita Naidu,Female,1966-12-12,Vikram Reddy
UAA2138109,O. Lakshmi Reddy,Female,1936-04-03,Vikram Kumar
LQP4039459,W. Sanjay Sharma,Male,1976-09-12,Sanjay Joshi
OMB0086402,M. Priya Babu,Female,1947-10-02,Ravi Sharma
XGQ3331042,P. Divya Joshi,Female,1999-09-01,Rahul Singh
VKT2035969,V. Sita Yadav,Female,1956-05-24,Ravi Reddy
NXU6617199,W. Rahul Sharma,Male,1964-04-15,Ravi Singh
FVD5378055,V. Arun Singh,Male,1995-09-12,Kiran Reddy
UCD5591177,S. Divya Das,Female,1960-05-23,Arun Babu
AHD6608327,T. Priya Joshi,Female,1970-02-25,Manoj Babu
WRZ2377376,I. Sita Joshi,Female,1973-08-08,Rahul Naidu
TWV5135188,X. Manoj Joshi,Male,1990-02-26,Vikram Singh
LXS2856103,H. Vikram Sharma,Male,1991-06-06,Vikram Sharma
TRH3159866,F. Divya Naidu,Female,1991-01-31,Anil Yadav
PAG8396433,E. Sneha Kumar,Female,1948-07-23,Arun Joshi
CNR8366210,M. Divya Babu,Female,1987-06-10,Vijay Babu
NGB8843104,G. Kavya Kumar,Female,1949-07-18,Rahul Naidu
VIS6649331,W. Sneha Babu,Female,1983-09-29,Arun Babu
SOX9862284,X. Ravi Naidu,Male,1980-08-29,Manoj Kumar
WPY0858320,P. Priya Sharma,Female,1973-09-02,Manoj Reddy
DWE0393042,S. Vikram Joshi,Male,1994-09-10,Anil Singh
LLL4057987,E. Suresh Babu,Male,1955-04-26,Manoj Reddy
ICN3009455,W. Arun Yadav,Male,2005-05-29,Vikram Verma
EXV0292051,Y. Latha Verma,Female,1945-05-27,Manoj Yadav
ZRQ0643541,B. Rahul Babu,Male,1973-05-10,Vijay Babu
PDV1711111,I. Kiran Babu,Male,1980-01-02,Ravi Das
OXR4200154,F. Anjali Sharma,Female,1960-01-31,Kiran Naidu
LZG0888364,I. Vijay Verma,Male,1937-01-30,Ravi Reddy
IXY2733144,V. Arun Kumar,Male,1998-06-30,Arun Kumar
ZVC9454676,E. Divya Sharma,Female,1945-02-14,Suresh Reddy
BRA8577298,O. Manoj Sharma,Male,1963-09-05,Ravi Singh
DVX6095441,V. Vikram Singh,Male,1968-03-08,Manoj Yadav
OJV0450439,Q. Anjali Verma,Female,1978-04-02,Rahul Sharma
ACP6352693,R. Kiran Das,Male,1997-10-22,Kiran Sharma
PSJ4060367,Y. Manoj Babu,Male,1987-01-07,Anil Das
CPE9347714,E. Radha Singh,Female,1944-01-11,Suresh Joshi
ZAT5459796,Q. Manoj Kumar,Male,1937-09-29,Manoj Babu
PIW4662332,V. Suresh Babu,Male,1941-06-25,Ravi Singh
WSY6262369,J. Kiran Das,Male,1994-08-15,Sanjay Das
OPY7685840,Y. Vijay Yadav,Male,1961-10-23,Anil Reddy
FTE2286270,V. Kiran Sharma,Male,2004-09-30,Suresh Sharma
KNU6603476,X. Lakshmi Das,Female,1997-10-27,Vijay Verma
VXS6756792,Y. Rahul Joshi,Male,2005-11-08,Vikram Babu
DBH2180490,X. Ravi Das,Male,1945-10-09,Suresh Kumar
OBS5957154,P. Sita Babu,Female,1953-06-20,Sanjay Naidu
YQM5761326,J. Anjali Verma,Female,1987-03-04,Anil Yadav
OHX8384081,M. Anil Naidu,Male,2003-06-10,Kiran Reddy
FQF6828874,A. Suresh Reddy,Male,1998-05-29,Vijay Das
ABE2089444,W. Suresh Yadav,Male,1940-01-04,Arun Joshi
BTB8352662,A. Sneha Babu,Female,2005-07-02,Ravi Das
FTU8262898,F. Sneha Das,Female,1972-10-18,Arun Joshi
APN9379346,D. Meena Sharma,Female,2006-01-06,Vijay Kumar
CRO0795606,I. Suresh Verma,Male,1992-07-29,Vikram Babu
RGH0143661,L. Anjali Kumar,Female,1998-03-17,Manoj Yadav
SQH3634474,Z. Sneha Verma,Female,1978-08-21,Anil Verma
FTQ7886857,E. Sanjay Das,Male,1991-04-01,Ravi Naidu
RDK8581503,R. Vijay Joshi,Male,2003-09-23,Rahul Das
DEO5817907,Y. Vikram Das,Male,1947-07-26,Sanjay Kumar
NUK9806196,B. Rahul Verma,Male,2001-05-18,Anil Verma
JQV5395384,M. Priya Singh,Female,1940-06-16,Sanjay Kumar
CQF1371287,F. Sita Verma,Female,1952-10-23,Suresh Joshi
ABO1605021,U. Divya Singh,Female,1946-06-10,Sanjay Kumar
PMM2415765,G. Lakshmi Joshi,Female,1953-03-31,Rahul Reddy
FKC2854104,S. Anil Reddy,Male,1942-01-17,Manoj Babu
RXO0964486,C. Vijay Joshi,Male,1936-09-10,Vijay Reddy
CDM2828417,S. Divya Babu,Female,1986-06-06,Kiran Yadav
RRI3162843,A. Vijay Singh,Male,1955-03-01,Ravi Das
MJO2337786,Z. Sneha Das,Female,1945-12-15,Kiran Das
UUP6036884,Q. Suresh Singh,Male,1966-12-13,Ravi Verma
SYK6290714,T. Radha Sharma,Female,1999-02-09,Anil Reddy
NSP6369023,B. Vijay Babu,Male,1988-12-02,Rahul Verma
HVX3926195,C. Lakshmi Das,Female,1970-08-23,Arun Reddy
IDN2572434,Q. Sneha Naidu,Female,1991-04-25,Vijay Reddy
MGJ7278435,S. Anil Sharma,Male,1939-01-23,Manoj Joshi
MJX2969417,R. Priya Kumar,Female,1984-09-29,Anil Reddy
UDC9408983,L. Anjali Kumar,Female,1988-06-19,Vikram Babu
HFO0745536,Y. Lakshmi Das,Female,1962-11-05,Manoj Kumar
AFP3625246,K. Ravi Sharma,Male,1965-12-31,Vijay Joshi
HED5202243,L. Divya Singh,Female,1990-07-08,Kiran Yadav
MZW5773553,F. Suresh Singh,Male,1935-03-30,Manoj Sharma
LIJ5920189,U. Vikram Reddy,Male,2001-08-18,Rahul Joshi
JRM7832611,Y. Sanjay Naidu,Male,1955-04-07,Vijay Kumar
FIH2624835,F. Lakshmi Yadav,Female,1969-03-04,Ravi Reddy
RYS0110850,X. Latha Verma,Female,1969-11-16,Arun Kumar
IGH6180683,C. Radha Singh,Female,1960-01-04,Sanjay Kumar
EPQ6556335,E. Meena Das,Female,1965-02-07,Vijay Joshi
HAV8340994,I. Rahul Kumar,Male,1967-05-18,Anil Singh
OEW4276820,H. Kiran Sharma,Male,1938-04-22,Rahul Babu
VKW1266261,U. Sanjay Das,Male,1960-09-01,Rahul Naidu
HDL0002474,F. Arun Reddy,Male,1993-05-14,Vijay Sharma
BME8881727,I. Sita Singh,Female,1965-06-01,Suresh Sharma
MRI3609526,V. Sita Verma,Female,1984-11-03,Ravi Das
IEH1700745,H. Arun Singh,Male,1974-09-06,Vikram Reddy
IZT0315143,V. Radha Babu,Female,1937-11-12,Manoj Reddy
GBS5545534,X. Anjali Kumar,Female,1967-08-29,Kiran Yadav
OLU5786363,J. Vijay Naidu,Male,2000-11-02,Suresh Joshi
TEH4306091,Q. Vijay Joshi,Male,1947-12-17,Kiran Verma
OVR5723609,D. Ravi Sharma,Male,1988-11-20,Manoj Verma
JTX8706578,Z. Manoj Sharma,Male,1948-03-09,Ravi Joshi
NEN2617416,X. Vijay Verma,Male,1987-08-25,Ravi Reddy
ONR5599598,F. Divya Kumar,Female,1946-07-04,Kiran Reddy
OJO7349002,H. Sneha Babu,Female,1938-06-17,Anil Babu
FIU9895550,J. Suresh Verma,Male,1960-07-30,Rahul Sharma
GHO5203448,H. Latha Verma,Female,1975-02-09,Anil Babu
UXI8491778,M. Rahul Reddy,Male,1953-08-13,Arun Babu
IOI6169975,Q. Kiran Sharma,Male,1950-02-23,Arun Naidu
IMT5234674,E. Kiran Kumar,Male,1987-02-03,Rahul Singh
ZNG2465143,R. Kiran Babu,Male,1963-04-01,Sanjay Verma
EJV8649261,Y. Anil Naidu,Male,1978-03-30,Sanjay Sharma
ASC4025252,E. Arun Naidu,Male,1996-12-07,Vikram Babu
BEH7606032,S. Latha Das,Female,1951-02-14,Arun Singh
ZCI8515490,M. Sita Das,Female,1997-05-03,Kiran Verma
ARJ3992023,M. Rahul Kumar,Male,1959-07-10,Anil Joshi
RCJ9662219,K. Rahul Singh,Male,1957-03-25,Vikram Kumar
WIS5199199,R. Meena Verma,Female,1966-09-20,Suresh Babu
VDA3993786,F. Meena Yadav,Female,2000-12-06,Vijay Reddy
QPP5200718,Y. Anjali Babu,Female,1993-05-20,Suresh Sharma
EFK9992622,P. Kavya Kumar,Female,1943-02-20,Kiran Joshi
LUP8739556,O. Sanjay Verma,Male,1967-08-10,Manoj Yadav
NKT5560233,B. Ravi Verma,Male,1960-04-22,Manoj Joshi
XMQ0515853,W. Latha Das,Female,1965-08-17,Sanjay Sharma
GRX7711435,O. Sita Reddy,Female,1966-07-26,Sanjay Verma
BEI8811703,R. Meena Singh,Female,1941-10-21,Suresh Singh
TAM4864264,A. Latha Babu,Female,1981-02-09,Suresh Verma
QVF1031056,I. Lakshmi Babu,Female,1999-11-23,Vikram Das
PRP7145902,V. Sita Naidu,Female,1999-02-24,Suresh Kumar
DSH5566176,J. Radha Joshi,Female,1973-01-07,Vijay Reddy
GOQ9647488,T. Sanjay Yadav,Male,1963-08-17,Rahul Singh
MUT2640382,D. Rahul Sharma,Male,1943-06-13,Vikram Sharma
NIA6376013,J. Rahul Naidu,Male,1945-02-10,Rahul Reddy
QXN3747827,P. Divya Kumar,Female,1946-09-08,Arun Kumar
BDV3351611,Z. Meena Yadav,Female,1957-03-17,Sanjay Yadav
WJV3513020,C. Kavya Joshi,Female,1943-09-29,Rahul Singh
YTN7188961,G. Manoj Yadav,Male,1935-05-02,Vijay Kumar
YRP0405635,A. Kiran Naidu,Male,1965-10-21,Vijay Reddy
ILD1206523,I. Anjali Das,Female,1949-09-14,Vikram Naidu
BPI4146104,H. Latha Kumar,Female,1982-09-13,Rahul Babu
IVS6597418,T. Sanjay Yadav,Male,1943-10-19,Sanjay Joshi
DXG3193834,H. Divya Verma,Female,1998-04-16,Manoj Joshi
