CON_ID,POLLING_BOOTH_ID,Voter ID,Name,Gender,Age
3,728,RXC4025016,E. Rahul Reddy,Male,20
4,829,IEY3008687,W. Divya Singh,Female,38
5,1071,XJE0679883,U. Ravi Babu,Male,52
1,79,PES1396568,W. Latha Reddy,Female,51
6,1239,FYW3639422,I. Arun Reddy,Male,39
2,450,CBC6740395,Q. Lakshmi Joshi,Female,57
7,1361,LLY8251982,D. Vijay Naidu,Male,28
3,640,XPM1398225,Y. Anil Das,Male,32
1,250,DMO2842572,Y. Manoj Kumar,Male,26
1,73,FIP2206298,D. Kavya Verma,Female,54
2,556,DYO4781044,G. Vikram Das,Male,64
8,1423,UCE5114808,X. Radha Yadav,Female,23
4,877,EMF4039274,Y. Vijay Verma,Male,23
4,817,BIB4950580,S. Latha Das,Female,62
3,721,PQK5592723,H. Kiran Babu,Male,39
6,1235,ZZB2298831,O. Kavya Babu,Female,59
5,1086,DCO2672624,E. Meena Naidu,Female,19
1,31,UQG7540089,A. Kiran Yadav,Male,26
4,917,BJY9036635,N. Sanjay Kumar,Male,51
6,1239,TIY8882718,A. Anjali Kumar,Female,32
5,1022,FRK2073568,J. Anjali Verma,Female,38
4,866,API7491810,S. Radha Naidu,Female,21
4,944,BRI3873344,L. Meena Singh,Female,18
1,75,HOA2456442,T. Anjali Babu,Female,30
7,1377,RFF0248046,C. Radha Verma,Female,33
3,650,XWX7286459,E. Manoj Sharma,Male,53
2,430,ITL8849418,R. Suresh Babu,Male,59
2,491,HCH2351267,P. Anjali Verma,Female,41
8,1485,BVK7908549,O. Kiran Singh,Male,55
5,1111,FLA3641416,H. Sneha Joshi,Female,53
6,1139,DMB3237378,C. Sanjay Singh,Male,53
2,383,QUQ7910116,L. Divya Verma,Female,25
1,297,ZSU1359593,T. Rahul Babu,Male,60
2,446,WPD9734353,W. Sanjay Naidu,Male,25
7,1305,LTZ2854472,W. Radha Kumar,Female,62
4,805,ORI4343225,Y. Rahul Joshi,Male,26
5,1120,MTR6470263,H. Meena Singh,Female,19
4,938,SHG1115712,K. Meena Yadav,Female,61
2,483,VHJ3710029,J. Lakshmi Reddy,Female,43
6,1181,EBY4840601,O. Sita Yadav,Female,27
4,1018,FNL4893667,T. Anjali Babu,Female,26
6,1156,OEK6402280,H. Rahul Kumar,Male,37
4,813,FDG1075894,D. Sanjay Das,Male,42
3,745,CBL3209859,P. Sneha Joshi,Female,45
8,1401,XEP6403368,U. Latha Joshi,Female,22
7,1346,CGD7880840,B. Divya Joshi,Female,55
6,1212,YLS1962155,R. Divya Kumar,Female,63
6,1158,MSN2892539,U. Ravi Kumar,Male,38
1,171,GAS8568443,Z. Rahul Das,Male,24
6,1159,WKI4939761,M. Kavya Verma,Female,59
1,129,CXA1890726,D. Vijay Joshi,Male,29
8,1408,WAB6997406,K. Kavya Joshi,Female,25
3,675,UHJ1557108,B. Suresh Yadav,Male,58
2,434,LRX4250992,O. Sanjay Naidu,Male,63
1,214,GOO9296256,P. Divya Reddy,Female,41
4,842,FEG7761060,Z. Rahul Yadav,Male,63
4,882,IKF7835219,C. Lakshmi Naidu,Female,21
1,50,WSZ9837054,E. Kavya Verma,Female,45
1,110,WOX2089341,A. Kavya Babu,Female,52
1,174,DLR7947140,H. Manoj Das,Male,45
4,968,YWC6593311,O. Priya Joshi,Female,55
2,529,GDO0722831,B. Anjali Yadav,Female,26
2,564,CWD3750214,I. Suresh Kumar,Male,43
3,658,CNY0785490,Q. Manoj Babu,Male,24
1,136,IDD6573525,C. Sneha Reddy,Female,54
1,276,XKV3733296,N. Radha Joshi,Female,27
1,256,TJD0956489,N. Radha Reddy,Female,24
2,564,PFR2183758,L. Priya Reddy,Female,23
1,322,XJE1607905,W. Arun Naidu,Male,42
2,507,UOC0166264,X. Divya Yadav,Female,56
4,819,CRP5329029,L. Priya Singh,Female,55
8,1447,TEJ7588080,A. Rahul Joshi,Male,41
4,878,KQH4919463,N. Ravi Babu,Male,59
4,977,WTF7065173,C. Anjali Singh,Female,28
3,650,PTR1747749,G. Ravi Kumar,Male,39
1,249,UPJ0403269,U. Latha Naidu,Female,46
3,751,LVQ3410183,R. Kiran Sharma,Male,64
8,1516,ZNP3937606,W. Suresh Joshi,Male,63
4,857,HSR9835139,V. Kavya Singh,Female,24
4,884,QID7999065,R. Lakshmi Singh,Female,30
1,310,EZE2755756,K. Rahul Joshi,Male,51
2,566,VEL4624274,W. Suresh Babu,Male,52
3,628,ZMH3598812,V. Manoj Babu,Male,46
1,94,THX1492430,J. Meena Reddy,Female,51
7,1269,JAY8671286,M. Vijay Reddy,Male,54
3,669,GVO7512304,C. Manoj Sharma,Male,60
7,1311,QOS2035165,R. Radha Sharma,Female,24
1,147,OKM6920737,Z. Meena Das,Female,24
3,586,VEU4668074,R. Suresh Yadav,Male,48
4,990,KVM0628062,J. Sita Das,Female,36
6,1144,RJU2044912,F. Sneha Joshi,Female,57
6,1146,SEL4796467,O. Anil Babu,Male,25
1,145,YDP7007335,Z. Kiran Kumar,Male,25
3,781,ONK6217435,Y. Anil Reddy,Male,58
6,1226,FDB1798996,W. Divya Joshi,Female,41
4,908,NDF1705385,Z. Rahul Yadav,Male,44
7,1331,TVB9646387,Q. Rahul Singh,Male,24
1,276,DEI7398826,D. Kiran Das,Male,30
1,271,PPE6939080,U. Priya Kumar,Female,29
3,735,HYM8620044,U. Lakshmi Das,Female,37
6,1185,TWZ1353422,W. Sanjay Yadav,Male,49
2,389,ZXV9711948,N. Rahul Verma,Male,23
5,1120,FJB4864584,O. Radha Verma,Female,20
4,842,FOB5729619,S. Sneha Das,Female,51
4,921,NNB1344653,G. Kavya Babu,Female,52
1,281,VNS2836957,K. Sneha Das,Female,33
3,777,PEQ6816091,H. Rahul Sharma,Male,61
7,1325,KUX8701236,N. Anil Verma,Male,58
8,1515,RWR8249229,R. Latha Yadav,Female,46
1,203,OYS2558337,P. Anjali Yadav,Female,44
3,768,RTF8252172,L. Arun Joshi,Male,44
5,1060,SCU0594984,N. Vikram Yadav,Male,38
5,1081,QGT8094890,Y. Anil Reddy,Male,44
2,359,OCZ2954984,A. Latha Naidu,Female,63
