CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED
1,242,AWW2290924,12:09:56,12:12:56,candidate c
4,905,TPT7580394,11:13:46,11:16:46,candidate c
8,1447,YJI9509230,12:53:33,12:55:33,candidate b
1,179,MMK6121553,09:57:43,09:59:43,candidate c
1,210,DYZ9553815,14:28:21,14:31:21,candidate b
1,91,HGD0932111,08:33:18,08:36:18,candidate a
4,908,WCY1121089,14:19:22,14:20:22,candidate b
2,545,OMC7435547,10:34:38,10:37:38,candidate c
1,80,BRO9796426,15:35:20,15:38:20,candidate c
3,588,YOT9575065,16:15:21,16:18:21,candidate c
4,983,VIJ9691569,08:59:34,09:01:34,candidate c
4,994,GCR1463297,14:19:14,14:20:14,candidate a
1,163,OSY5539769,11:41:09,11:42:09,candidate a
7,1341,TKD0849036,11:33:33,11:35:33,candidate c
5,1091,MRF7085685,08:25:31,08:27:31,candidate b
3,790,LAK6356579,13:26:08,13:29:08,candidate a
4,876,JBR3713034,10:48:45,10:51:45,candidate b
1,68,FOU7411874,08:47:15,08:50:15,candidate a
1,237,FAF8139410,14:34:59,14:36:59,candidate c
1,136,RMB2047239,10:09:32,10:11:32,candidate b
1,98,VAD8412743,08:18:08,08:21:08,candidate a
2,424,EYI6022444,08:53:24,08:55:24,candidate b
8,1424,VCE4086031,16:11:20,16:12:20,candidate c
4,895,VPU1755348,16:21:04,16:24:04,candidate c
5,1076,KED9051093,13:49:06,13:52:06,candidate a
8,1439,CSM3900961,10:31:34,10:33:34,candidate a
3,641,ZIN7800701,08:17:44,08:19:44,candidate c
3,653,IWP0989022,13:24:10,13:26:10,candidate b
4,803,GPM4746381,10:25:18,10:26:18,candidate c
3,677,UTW9445829,16:41:39,16:43:39,candidate a
7,1291,CIQ7491823,14:26:39,14:27:39,candidate b
1,210,XEA5274021,12:58:31,13:00:31,candidate c
8,1424,NEK0827932,11:55:11,11:58:11,candidate a
3,725,OHO8466567,13:29:12,13:30:12,candidate a
2,544,WTF7960917,09:08:40,09:09:40,candidate a
1,170,SOM9070087,14:42:51,14:44:51,candidate c
4,878,XSP6910138,08:00:16,08:03:16,candidate c
1,256,LJH6747435,14:49:11,14:50:11,candidate c
6,1217,XWS3998804,16:54:28,16:56:28,candidate c
8,1419,BCV9655477,12:07:07,12:08:07,candidate a
4,985,MRC4833492,14:18:08,14:19:08,candidate c
1,246,ORI4343225,12:35:25,12:38:25,candidate b
3,599,QMN5127568,08:00:01,08:01:01,candidate c
1,283,IYD4154345,08:29:34,08:30:34,candidate b
2,570,GQS3580205,08:06:46,08:07:46,candidate a
3,636,EBY4840601,09:51:19,09:54:19,candidate c
