Voter ID,Name,Gender,Age
RXC4025016,E. Rahul Reddy,Male,20
IEY3008687,W. Divya Singh,Female,38
XJE0679883,U. Ravi Babu,Male,52
PES1396568,W. Latha Reddy,Female,51
FYW3639422,I. Arun Reddy,Male,39
CBC6740395,Q. Lakshmi Joshi,Female,57
LLY8251982,D. Vijay Naidu,Male,28
XPM1398225,Y. Anil Das,Male,32
DMO2842572,Y. Manoj Kumar,Male,26
FIP2206298,D. Kavya Verma,Female,54
DYO4781044,G. Vikram Das,Male,64
UCE5114808,X. Radha Yadav,Female,23
EMF4039274,Y. Vijay Verma,Male,23
BIB4950580,S. Latha Das,Female,62
PQK5592723,H. Kiran Babu,Male,39
ZZB2298831,O. Kavya Babu,Female,59
DCO2672624,E. Meena Naidu,Female,19
UQG7540089,A. Kiran Yadav,Male,26
BJY9036635,N. Sanjay Kumar,Male,51
TIY8882718,A. Anjali Kumar,Female,32
FRK2073568,J. Anjali Verma,Female,38
API7491810,S. Radha Naidu,Female,21
BRI3873344,L. Meena Singh,Female,18
HOA2456442,T. Anjali Babu,Female,30
RFF0248046,C. Radha Verma,Female,33
XWX7286459,E. Manoj Sharma,Male,53
ITL8849418,R. Suresh Babu,Male,59
HCH2351267,P. Anjali Verma,Female,41
BVK7908549,O. Kiran Singh,Male,55
FLA3641416,H. Sneha Joshi,Female,53
DMB3237378,C. Sanjay Singh,Male,53
QUQ7910116,L. Divya Verma,Female,25
ZSU1359593,T. Rahul Babu,Male,60
WPD9734353,W. Sanjay Naidu,Male,25
LTZ2854472,W. Radha Kumar,Female,62
ORI4343225,Y. Rahul Joshi,Male,26
MTR6470263,H. Meena Singh,Female,19
SHG1115712,K. Meena Yadav,Female,61
VHJ3710029,J. Lakshmi Reddy,Female,43
EBY4840601,O. Sita Yadav,Female,27
FNL4893667,T. Anjali Babu,Female,26
OEK6402280,H. Rahul Kumar,Male,37
FDG1075894,D. Sanjay Das,Male,42
CBL3209859,P. Sneha Joshi,Female,45
XEP6403368,U. Latha Joshi,Female,22
CGD7880840,B. Divya Joshi,Female,55
YLS1962155,R. Divya Kumar,Female,63
MSN2892539,U. Ravi Kumar,Male,38
GAS8568443,Z. Rahul Das,Male,24
WKI4939761,M. Kavya Verma,Female,59
CXA1890726,D. Vijay Joshi,Male,29
WAB6997406,K. Kavya Joshi,Female,25
UHJ1557108,B. Suresh Yadav,Male,58
LRX4250992,O. Sanjay Naidu,Male,63
GOO9296256,P. Divya Reddy,Female,41
FEG7761060,Z. Rahul Yadav,Male,63
IKF7835219,C. Lakshmi Naidu,Female,21
WSZ9837054,E. Kavya Verma,Female,45
WOX2089341,A. Kavya Babu,Female,52
DLR7947140,H. Manoj Das,Male,45
YWC6593311,O. Priya Joshi,Female,55
GDO0722831,B. Anjali Yadav,Female,26
CWD3750214,I. Suresh Kumar,Male,43
CNY0785490,Q. Manoj Babu,Male,24
IDD6573525,C. Sneha Reddy,Female,54
XKV3733296,N. Radha Joshi,Female,27
TJD0956489,N. Radha Reddy,Female,24
PFR2183758,L. Priya Reddy,Female,23
XJE1607905,W. Arun Naidu,Male,42
UOC0166264,X. Divya Yadav,Female,56
CRP5329029,L. Priya Singh,Female,55
TEJ7588080,A. Rahul Joshi,Male,41
KQH4919463,N. Ravi Babu,Male,59
WTF7065173,C. Anjali Singh,Female,28
PTR1747749,G. Ravi Kumar,Male,39
UPJ0403269,U. Latha Naidu,Female,46
LVQ3410183,R. Kiran Sharma,Male,64
ZNP3937606,W. Suresh Joshi,Male,63
HSR9835139,V. Kavya Singh,Female,24
QID7999065,R. Lakshmi Singh,Female,30
EZE2755756,K. Rahul Joshi,Male,51
VEL4624274,W. Suresh Babu,Male,52
ZMH3598812,V. Manoj Babu,Male,46
THX1492430,J. Meena Reddy,Female,51
JAY8671286,M. Vijay Reddy,Male,54
GVO7512304,C. Manoj Sharma,Male,60
QOS2035165,R. Radha Sharma,Female,24
OKM6920737,Z. Meena Das,Female,24
VEU4668074,R. Suresh Yadav,Male,48
KVM0628062,J. Sita Das,Female,36
RJU2044912,F. Sneha Joshi,Female,57
SEL4796467,O. Anil Babu,Male,25
YDP7007335,Z. Kiran Kumar,Male,25
ONK6217435,Y. Anil Reddy,Male,58
FDB1798996,W. Divya Joshi,Female,41
NDF1705385,Z. Rahul Yadav,Male,44
TVB9646387,Q. Rahul Singh,Male,24
DEI7398826,D. Kiran Das,Male,30
PPE6939080,U. Priya Kumar,Female,29
HYM8620044,U. Lakshmi Das,Female,37
TWZ1353422,W. Sanjay Yadav,Male,49
ZXV9711948,N. Rahul Verma,Male,23
FJB4864584,O. Radha Verma,Female,20
FOB5729619,S. Sneha Das,Female,51
NNB1344653,G. Kavya Babu,Female,52
VNS2836957,K. Sneha Das,Female,33
PEQ6816091,H. Rahul Sharma,Male,61
KUX8701236,N. Anil Verma,Male,58
RWR8249229,R. Latha Yadav,Female,46
OYS2558337,P. Anjali Yadav,Female,44
RTF8252172,L. Arun Joshi,Male,44
SCU0594984,N. Vikram Yadav,Male,38
QGT8094890,Y. Anil Reddy,Male,44
OCZ2954984,A. Latha Naidu,Female,63
SAI2616644,U. Anil Naidu,Male,28
YAJ4235523,P. Sneha Yadav,Female,26
RYX7669329,F. Ravi Singh,Male,24
XTU8765755,N. Divya Das,Female,32
NEW4674840,G. Lakshmi Babu,Female,25
MUS3875030,B. Kiran Das,Male,64
TTZ6493893,N. Manoj Kumar,Male,24
DZV7947432,M. Ravi Das,Male,49
PYX2054682,Z. Latha Singh,Female,49
DZG9557828,G. Manoj Sharma,Male,54
WXQ4499673,R. Rahul Babu,Male,55
WHS8959512,P. Latha Verma,Female,55
SEG6681775,C. Ravi Das,Male,48
TTX6732324,G. Kavya Reddy,Female,37
TIF3087055,D. Priya Joshi,Female,46
MRR2896417,S. Latha Verma,Female,45
NVB8001601,R. Vijay Sharma,Male,31
XRA5407525,T. Manoj Babu,Male,63
QGJ7094262,H. Radha Verma,Female,34
MQS0863998,M. Ravi Das,Male,21
YRH5618021,I. Vikram Sharma,Male,39
VKX3719759,H. Priya Babu,Female,25
TYK7029439,K. Kiran Babu,Male,27
SCE7673103,J. Lakshmi Verma,Female,35
OKA3053323,O. Radha Das,Female,42
EGG1122739,V. Sanjay Singh,Male,40
VJW4486536,M. Divya Yadav,Female,36
TQZ7327391,K. Anil Naidu,Male,61
VBW7613214,Z. Manoj Naidu,Male,21
NYW4097859,S. Divya Singh,Female,25
ZRK7940255,B. Anil Babu,Male,40
RDZ4290873,Y. Anil Babu,Male,58
SLB0703189,D. Anjali Joshi,Female,59
LMU6163784,K. Suresh Das,Male,64
PUN3116493,Y. Sita Reddy,Female,53
VSH6011316,T. Lakshmi Kumar,Female,53
QSQ9541340,F. Lakshmi Joshi,Female,56
NMR4840072,M. Divya Das,Female,19
OCC7838075,X. Meena Joshi,Female,38
WCW1827686,I. Anjali Yadav,Female,27
ONP1925959,Z. Lakshmi Sharma,Female,33
SDD3283166,U. Kiran Kumar,Male,30
SWL4588096,Q. Radha Naidu,Female,59
MIH5187870,N. Meena Verma,Female,24
ZLZ9838803,O. Radha Sharma,Female,20
STL0020554,U. Suresh Naidu,Male,51
FCU1323886,P. Ravi Reddy,Male,49
LSQ1468017,T. Vijay Kumar,Male,24
GPS2908826,I. Sneha Reddy,Female,50
CMP5999185,P. Rahul Singh,Male,53
AFX9327744,S. Divya Reddy,Female,34
ZEI5766349,Q. Ravi Verma,Male,43
PBR6101043,D. Vikram Joshi,Male,23
ILN2964508,Y. Kavya Sharma,Female,33
FNB8243198,S. Suresh Reddy,Male,51
JNX1899042,C. Kavya Babu,Female,38
OHQ4547197,G. Radha Naidu,Female,47
JVW9068715,H. Arun Das,Male,32
CXX5739001,W. Manoj Naidu,Male,56
GGI8773202,N. Lakshmi Kumar,Female,25
KNZ2321168,O. Ravi Yadav,Male,32
ZKB2819855,W. Anil Verma,Male,37
VZD8366528,A. Ravi Sharma,Male,60
DYB9474343,C. Vikram Yadav,Male,24
QGH4502118,B. Rahul Babu,Male,43
IOI2050828,R. Kiran Joshi,Male,20
GVX0928738,H. Lakshmi Verma,Female,50
XAS9551984,Z. Vikram Yadav,Male,34
