CON_ID,POLLING_BOOTH_ID,Voter ID,Name,Gender,Age
2,500,RXC4025016,E. Rahul Reddy,Male,20
7,1313,IEY3008687,W. Divya Singh,Female,38
6,1209,XJE0679883,U. Ravi Babu,Male,52
3,772,PES1396568,W. Latha Reddy,Female,51
2,469,FYW3639422,I. Arun Reddy,Male,39
5,1049,CBC6740395,Q. Lakshmi Joshi,Female,57
2,501,LLY8251982,D. Vijay Naidu,Male,28
2,444,XPM1398225,Y. Anil Das,Male,32
3,668,DMO2842572,Y. Manoj Kumar,Male,26
4,998,FIP2206298,D. Kavya Verma,Female,54
2,458,DYO4781044,G. Vikram Das,Male,64
3,700,UCE5114808,X. Radha Yadav,Female,23
2,578,EMF4039274,Y. Vijay Verma,Male,23
5,1083,BIB4950580,S. Latha Das,Female,62
4,1013,PQK5592723,H. Kiran Babu,Male,39
8,1517,ZZB2298831,O. Kavya Babu,Female,59
8,1412,DCO2672624,E. Meena Naidu,Female,19
4,841,UQG7540089,A. Kiran Yadav,Male,26
4,1006,BJY9036635,N. Sanjay Kumar,Male,51
5,1091,TIY8882718,A. Anjali Kumar,Female,32
4,885,FRK2073568,J. Anjali Verma,Female,38
1,36,API7491810,S. Radha Naidu,Female,21
4,820,BRI3873344,L. Meena Singh,Female,18
1,348,HOA2456442,T. Anjali Babu,Female,30
1,291,RFF0248046,C. Radha Verma,Female,33
3,786,XWX7286459,E. Manoj Sharma,Male,53
7,1262,ITL8849418,R. Suresh Babu,Male,59
2,553,HCH2351267,P. Anjali Verma,Female,41
1,350,BVK7908549,O. Kiran Singh,Male,55
4,820,FLA3641416,H. Sneha Joshi,Female,53
1,210,DMB3237378,C. Sanjay Singh,Male,53
2,464,QUQ7910116,L. Divya Verma,Female,25
5,1035,ZSU1359593,T. Rahul Babu,Male,60
2,466,WPD9734353,W. Sanjay Naidu,Male,25
2,383,LTZ2854472,W. Radha Kumar,Female,62
1,246,ORI4343225,Y. Rahul Joshi,Male,26
4,940,MTR6470263,H. Meena Singh,Female,19
4,940,SHG1115712,K. Meena Yadav,Female,61
3,623,VHJ3710029,J. Lakshmi Reddy,Female,43
3,636,EBY4840601,O. Sita Yadav,Female,27
2,501,FNL4893667,T. Anjali Babu,Female,26
3,596,OEK6402280,H. Rahul Kumar,Male,37
3,703,FDG1075894,D. Sanjay Das,Male,42
2,456,CBL3209859,P. Sneha Joshi,Female,45
1,250,XEP6403368,U. Latha Joshi,Female,22
8,1440,CGD7880840,B. Divya Joshi,Female,55
5,1051,YLS1962155,R. Divya Kumar,Female,63
1,252,MSN2892539,U. Ravi Kumar,Male,38
1,69,GAS8568443,Z. Rahul Das,Male,24
5,1107,WKI4939761,M. Kavya Verma,Female,59
7,1257,CXA1890726,D. Vijay Joshi,Male,29
1,47,WAB6997406,K. Kavya Joshi,Female,25
7,1377,UHJ1557108,B. Suresh Yadav,Male,58
8,1449,LRX4250992,O. Sanjay Naidu,Male,63
4,810,GOO9296256,P. Divya Reddy,Female,41
1,14,FEG7761060,Z. Rahul Yadav,Male,63
2,465,IKF7835219,C. Lakshmi Naidu,Female,21
4,861,WSZ9837054,E. Kavya Verma,Female,45
4,937,WOX2089341,A. Kavya Babu,Female,52
7,1356,DLR7947140,H. Manoj Das,Male,45
2,573,YWC6593311,O. Priya Joshi,Female,55
3,680,GDO0722831,B. Anjali Yadav,Female,26
3,606,CWD3750214,I. Suresh Kumar,Male,43
2,404,CNY0785490,Q. Manoj Babu,Male,24
2,377,IDD6573525,C. Sneha Reddy,Female,54
8,1490,XKV3733296,N. Radha Joshi,Female,27
1,153,TJD0956489,N. Radha Reddy,Female,24
2,391,PFR2183758,L. Priya Reddy,Female,23
3,657,XJE1607905,W. Arun Naidu,Male,42
2,494,UOC0166264,X. Divya Yadav,Female,56
7,1362,CRP5329029,L. Priya Singh,Female,55
4,793,TEJ7588080,A. Rahul Joshi,Male,41
3,646,KQH4919463,N. Ravi Babu,Male,59
1,110,WTF7065173,C. Anjali Singh,Female,28
2,447,PTR1747749,G. Ravi Kumar,Male,39
4,884,UPJ0403269,U. Latha Naidu,Female,46
8,1484,LVQ3410183,R. Kiran Sharma,Male,64
5,1036,ZNP3937606,W. Suresh Joshi,Male,63
8,1527,HSR9835139,V. Kavya Singh,Female,24
2,368,QID7999065,R. Lakshmi Singh,Female,30
4,815,EZE2755756,K. Rahul Joshi,Male,51
2,543,VEL4624274,W. Suresh Babu,Male,52
7,1352,ZMH3598812,V. Manoj Babu,Male,46
2,529,THX1492430,J. Meena Reddy,Female,51
7,1332,JAY8671286,M. Vijay Reddy,Male,54
4,1008,GVO7512304,C. Manoj Sharma,Male,60
2,513,QOS2035165,R. Radha Sharma,Female,24
1,56,OKM6920737,Z. Meena Das,Female,24
2,431,VEU4668074,R. Suresh Yadav,Male,48
8,1391,KVM0628062,J. Sita Das,Female,36
4,820,RJU2044912,F. Sneha Joshi,Female,57
1,235,SEL4796467,O. Anil Babu,Male,25
3,759,YDP7007335,Z. Kiran Kumar,Male,25
2,393,ONK6217435,Y. Anil Reddy,Male,58
1,129,FDB1798996,W. Divya Joshi,Female,41
1,33,NDF1705385,Z. Rahul Yadav,Male,44
4,892,TVB9646387,Q. Rahul Singh,Male,24
1,142,DEI7398826,D. Kiran Das,Male,30
2,528,PPE6939080,U. Priya Kumar,Female,29
8,1520,HYM8620044,U. Lakshmi Das,Female,37
6,1222,TWZ1353422,W. Sanjay Yadav,Male,49
1,102,ZXV9711948,N. Rahul Verma,Male,23
2,401,FJB4864584,O. Radha Verma,Female,20
3,651,FOB5729619,S. Sneha Das,Female,51
8,1384,NNB1344653,G. Kavya Babu,Female,52
1,132,VNS2836957,K. Sneha Das,Female,33
1,203,PEQ6816091,H. Rahul Sharma,Male,61
1,51,KUX8701236,N. Anil Verma,Male,58
7,1293,RWR8249229,R. Latha Yadav,Female,46
8,1455,OYS2558337,P. Anjali Yadav,Female,44
8,1506,RTF8252172,L. Arun Joshi,Male,44
5,1065,SCU0594984,N. Vikram Yadav,Male,38
3,710,QGT8094890,Y. Anil Reddy,Male,44
3,684,OCZ2954984,A. Latha Naidu,Female,63
3,680,SAI2616644,U. Anil Naidu,Male,28
5,1121,YAJ4235523,P. Sneha Yadav,Female,26
1,304,RYX7669329,F. Ravi Singh,Male,24
7,1299,XTU8765755,N. Divya Das,Female,32
2,536,NEW4674840,G. Lakshmi Babu,Female,25
1,238,MUS3875030,B. Kiran Das,Male,64
6,1159,TTZ6493893,N. Manoj Kumar,Male,24
1,220,DZV7947432,M. Ravi Das,Male,49
8,1397,PYX2054682,Z. Latha Singh,Female,49
1,281,DZG9557828,G. Manoj Sharma,Male,54
1,90,WXQ4499673,R. Rahul Babu,Male,55
1,4,WHS8959512,P. Latha Verma,Female,55
4,961,SEG6681775,C. Ravi Das,Male,48
2,466,TTX6732324,G. Kavya Reddy,Female,37
3,686,TIF3087055,D. Priya Joshi,Female,46
1,117,MRR2896417,S. Latha Verma,Female,45
7,1353,NVB8001601,R. Vijay Sharma,Male,31
1,259,XRA5407525,T. Manoj Babu,Male,63
3,607,QGJ7094262,H. Radha Verma,Female,34
3,634,MQS0863998,M. Ravi Das,Male,21
3,653,YRH5618021,I. Vikram Sharma,Male,39
1,172,VKX3719759,H. Priya Babu,Female,25
4,903,TYK7029439,K. Kiran Babu,Male,27
8,1388,SCE7673103,J. Lakshmi Verma,Female,35
1,57,OKA3053323,O. Radha Das,Female,42
4,795,EGG1122739,V. Sanjay Singh,Male,40
4,974,VJW4486536,M. Divya Yadav,Female,36
5,1107,TQZ7327391,K. Anil Naidu,Male,61
7,1323,VBW7613214,Z. Manoj Naidu,Male,21
1,310,NYW4097859,S. Divya Singh,Female,25
2,489,ZRK7940255,B. Anil Babu,Male,40
1,183,RDZ4290873,Y. Anil Babu,Male,58
2,409,SLB0703189,D. Anjali Joshi,Female,59
